payment_id,account_id,borrower_id,event_at,payment_reference,amount,payment_status,payment_method,provider_id
PAYMENT0000036,ACC0005478,BRW0006165,2026-06-15 07:01:26,TXN0000001480,78270.05,PENDING,NACH,VND0000004
PAYMENT0000037,ACC0019433,BRW0000459,2026-03-29 07:09:14,TXN0000031615,26255.04,REVERSED,NACH,VND0000002
PAYMENT0000038,ACC0019855,BRW0008279,2026-07-13 08:49:29,TXN0000031736,96614.79,SUCCESS,UPI,VND0000006
PAYMENT0000039,ACC0012581,BRW0000027,2026-06-19 04:58:51,TXN0000049765,21486.61,SUCCESS,NACH,VND0000007
PAYMENT0000040,ACC0010832,BRW0001343,2026-04-16 06:56:09,TXN0000000566,144290.21,SUCCESS,UPI,VND0000005
PAYMENT0000041,ACC0025956,BRW0010110,2026-04-28 22:03:24,TXN0000053937,94558.06,SUCCESS,CARD,VND0000011
PAYMENT0000042,ACC0009797,BRW0009287,2026-06-11 02:06:40,TXN0000027687,18096.51,SUCCESS,NACH,VND0000008
PAYMENT0000043,ACC0014270,BRW0001356,2026-02-22 18:27:14,TXN0000015829,55667.11,FAILED,NACH,VND0000009
PAYMENT0000044,ACC0015075,BRW0007104,2026-06-02 12:02:25,TXN0000034009,24965.91,SUCCESS,NACH,VND0000004
PAYMENT0000045,ACC0019329,BRW0010222,2026-04-06 18:52:28,TXN0000016905,45538.35,SUCCESS,NACH,VND0000013
PAYMENT0000046,ACC0028983,BRW0010609,2026-04-17 06:26:52,TXN0000042379,125117.22,REVERSED,NACH,VND0000015
PAYMENT0000047,ACC0006578,BRW0009321,2026-05-28 09:56:49,TXN0000067037,15939.02,FAILED,CARD,VND0000002
PAYMENT0000048,ACC0002536,BRW0000889,2026-06-17 01:15:38,TXN0000017025,142833.99,SUCCESS,NETBANKING,VND0000002
PAYMENT0000049,ACC0020737,BRW0005627,2026-02-27 16:41:48,TXN0000029967,58541.48,SUCCESS,CARD,VND0000002
PAYMENT0000050,ACC0013852,BRW0001708,2026-08-07 14:12:29,TXN0000044041,57995.58,FAILED,NACH,VND0000014
PAYMENT0000051,ACC0010133,BRW0010684,2026-03-29 04:54:31,TXN0000065478,106757.4,SUCCESS,NETBANKING,VND0000006
PAYMENT0000052,ACC0020506,BRW0007395,2026-07-27 17:32:01,TXN0000023943,112312.54,FAILED,NACH,VND0000008
PAYMENT0000053,ACC0003274,BRW0002281,2026-03-24 08:21:06,TXN0000010690,21894.45,SUCCESS,CASH,VND0000013
PAYMENT0000054,ACC0022721,BRW0004668,2026-01-31 02:24:36,TXN0000009562,100390.75,SUCCESS,UPI,VND0000009
PAYMENT0000055,ACC0027754,BRW0006092,2026-06-06 09:04:27,TXN0000022884,13040.92,SUCCESS,NETBANKING,VND0000015
PAYMENT0000056,ACC0019495,BRW0009716,2026-02-24 09:33:29,TXN0000008612,77982.73,PENDING,NETBANKING,VND0000007
PAYMENT0000057,ACC0019516,BRW0007566,2026-03-09 21:17:19,TXN0000041848,125614.94,SUCCESS,NETBANKING,VND0000009
PAYMENT0000058,ACC0010953,BRW0003804,2026-07-14 06:55:29,TXN0000066952,131153.86,FAILED,CASH,VND0000001
PAYMENT0000059,ACC0026713,BRW0008454,2026-01-31 16:06:00,TXN0000003779,99210.03,SUCCESS,NACH,VND0000010
PAYMENT0000060,ACC0021307,BRW0011070,2026-04-19 12:29:59,TXN0000043668,103316.09,SUCCESS,CASH,VND0000002
PAYMENT0000061,ACC0007981,BRW0006143,2026-02-06 00:15:08,TXN0000057506,132415.76,SUCCESS,UPI,VND0000014
PAYMENT0000062,ACC0000673,BRW0011292,2026-05-14 01:00:41,TXN0000020511,9328.84,SUCCESS,NACH,VND0000005
PAYMENT0000063,ACC0022545,BRW0006656,2026-05-28 19:13:48,TXN0000030347,106733.8,SUCCESS,CASH,VND0000010
PAYMENT0000064,ACC0009453,BRW0011824,2026-01-27 12:43:12,TXN0000003189,83181.89,SUCCESS,UPI,VND0000011
PAYMENT0000065,ACC0028084,BRW0008200,2026-07-07 15:59:57,TXN0000020314,24854.56,REVERSED,UPI,VND0000007
PAYMENT0000066,ACC0009782,BRW0004840,2026-07-09 02:33:48,TXN0000013410,7473.12,SUCCESS,NETBANKING,VND0000001
PAYMENT0000067,ACC0011857,BRW0001056,2026-01-28 20:35:09,TXN0000032706,123534.36,SUCCESS,CASH,VND0000015
PAYMENT0000068,ACC0024968,BRW0002468,2026-01-12 05:31:41,TXN0000064617,147594.13,SUCCESS,NACH,VND0000006
PAYMENT0000069,ACC0021627,BRW0004184,2026-07-02 02:11:50,TXN0000069656,30716.52,SUCCESS,NACH,VND0000006
PAYMENT0000070,ACC0000971,BRW0002574,2026-03-04 14:22:37,TXN0000019212,77453.18,SUCCESS,UPI,VND0000004
PAYMENT0000071,ACC0009260,BRW0006908,2026-07-03 12:27:02,TXN0000026230,76552.14,SUCCESS,UPI,VND0000001
PAYMENT0000072,ACC0019393,BRW0006839,2026-05-20 06:23:21,TXN0000058455,5607.77,SUCCESS,NETBANKING,VND0000006
PAYMENT0000073,ACC0022720,BRW0009066,2026-06-24 20:12:31,TXN0000007473,52144.98,FAILED,CARD,VND0000004
PAYMENT0000074,ACC0023810,BRW0003026,2026-05-18 14:07:16,TXN0000020871,90234.93,FAILED,UPI,VND0000015
PAYMENT0000075,ACC0011649,BRW0008821,2026-05-02 17:21:34,TXN0000063555,15950.65,SUCCESS,NETBANKING,VND0000011
PAYMENT0000076,ACC0027928,BRW0010869,2026-02-05 17:14:30,TXN0000006417,43712.91,PENDING,UPI,VND0000014
PAYMENT0000077,ACC0026057,BRW0004384,2026-05-23 03:39:55,TXN0000054596,115205.32,SUCCESS,NETBANKING,VND0000005
PAYMENT0000078,ACC0023036,BRW0001589,2026-03-20 06:57:04,TXN0000021027,108410.18,SUCCESS,NETBANKING,VND0000008
PAYMENT0000079,ACC0020583,BRW0001493,2026-05-04 16:57:33,TXN0000047512,108460.97,PENDING,CASH,VND0000006
PAYMENT0000080,ACC0023085,BRW0005077,2026-01-19 12:28:30,TXN0000002454,17072.15,SUCCESS,UPI,VND0000005
PAYMENT0000081,ACC0022680,BRW0009358,2026-06-16 08:16:16,TXN0000033531,117654.16,SUCCESS,UPI,VND0000002
PAYMENT0000082,ACC0029711,BRW0004465,2026-01-25 15:29:48,TXN0000016254,139652.3,SUCCESS,CASH,VND0000014
PAYMENT0000083,ACC0008639,BRW0010284,2026-05-27 17:23:40,TXN0000030979,95362.95,SUCCESS,CARD,VND0000009
PAYMENT0000084,ACC0025196,BRW0004098,2026-05-28 17:45:01,TXN0000005970,144857.28,FAILED,CASH,VND0000002
PAYMENT0000085,ACC0008904,BRW0002796,2026-05-19 15:32:03,TXN0000069720,142447.04,PENDING,NACH,VND0000014
PAYMENT0000086,ACC0002722,BRW0006773,2026-06-22 09:53:31,TXN0000044892,116051.79,SUCCESS,CARD,VND0000010
PAYMENT0000087,ACC0004029,BRW0009910,2026-07-23 04:15:11,TXN0000046018,18496.49,PENDING,NACH,VND0000004
PAYMENT0000088,ACC0019386,BRW0003530,2026-05-18 01:34:33,TXN0000042066,132518.88,SUCCESS,CASH,VND0000014
PAYMENT0000089,ACC0029649,BRW0003297,2026-01-13 17:01:15,TXN0000065937,8332.34,PENDING,CARD,VND0000009
PAYMENT0000090,ACC0013229,BRW0008426,2026-07-20 18:42:48,TXN0000002374,128490.38,PENDING,UPI,VND0000001
PAYMENT0000091,ACC0000966,BRW0011984,2026-05-08 19:25:23,TXN0000068335,138572.9,SUCCESS,CARD,VND0000008
PAYMENT0000092,ACC0005651,BRW0010962,2026-03-19 19:10:23,TXN0000020456,132110.67,REVERSED,UPI,VND0000013
PAYMENT0000093,ACC0013421,BRW0007145,2026-02-10 21:08:42,TXN0000002672,124194.85,SUCCESS,NETBANKING,VND0000011
PAYMENT0000094,ACC0015786,BRW0007029,2026-02-15 22:59:44,TXN0000023675,5598.57,SUCCESS,NACH,VND0000006
PAYMENT0000095,ACC0022795,BRW0011796,2026-06-27 21:54:34,TXN0000054476,93804.67,FAILED,NETBANKING,VND0000014
PAYMENT0000096,ACC0026223,BRW0007213,2026-04-25 19:02:38,TXN0000014309,68516.14,SUCCESS,NETBANKING,VND0000001
PAYMENT0000097,ACC0007489,BRW0004571,2026-02-19 08:40:33,TXN0000004784,131560.54,SUCCESS,CASH,VND0000014
PAYMENT0000098,ACC0014169,BRW0006542,2026-07-17 14:26:45,TXN0000058473,94984.31,SUCCESS,NETBANKING,VND0000004
PAYMENT0000099,ACC0016844,BRW0003081,2026-02-11 08:20:20,TXN0000042898,42787.44,SUCCESS,NETBANKING,VND0000014
PAYMENT0000100,ACC0005110,BRW0003874,2026-01-15 13:08:04,TXN0000018345,15359.94,FAILED,CARD,VND0000011
PAYMENT0000101,ACC0022192,BRW0003575,2026-03-08 20:11:07,TXN0000039701,24630.92,PENDING,CASH,VND0000002
PAYMENT0000102,ACC0027314,BRW0002299,2026-01-29 09:43:08,TXN0000061156,12349.89,SUCCESS,CARD,VND0000007
PAYMENT0000103,ACC0008693,BRW0000159,2026-02-03 10:19:55,TXN0000018697,128591.08,SUCCESS,NACH,VND0000012
PAYMENT0000104,ACC0017742,BRW0000696,2026-06-12 18:56:36,TXN0000067652,33444.78,SUCCESS,CARD,VND0000008
PAYMENT0000105,ACC0016275,BRW0011316,2026-05-02 11:37:20,TXN0000057367,139836.41,SUCCESS,NETBANKING,VND0000015
PAYMENT0000106,ACC0027036,BRW0008918,2026-02-23 21:14:01,TXN0000011887,117166.92,SUCCESS,NACH,VND0000009
PAYMENT0000107,ACC0003535,BRW0001401,2026-07-11 10:42:59,TXN0000064122,29899.53,SUCCESS,CASH,VND0000010
PAYMENT0000108,ACC0017047,BRW0009175,2026-06-09 08:17:45,TXN0000041404,102830.42,SUCCESS,NACH,VND0000003
PAYMENT0000109,ACC0021322,BRW0009935,2026-01-10 02:09:17,TXN0000054585,78035.0,SUCCESS,UPI,VND0000015
PAYMENT0000110,ACC0011207,BRW0008494,2026-06-25 10:23:38,TXN0000036140,28971.68,FAILED,NACH,VND0000011
PAYMENT0000111,ACC0010730,BRW0001373,2026-03-31 18:13:13,TXN0000041479,115408.67,SUCCESS,CASH,VND0000004
PAYMENT0000112,ACC0004527,BRW0002806,2026-03-09 22:26:17,TXN0000041335,45828.41,PENDING,CASH,VND0000009
PAYMENT0000113,ACC0012275,BRW0001495,2026-02-10 22:16:58,TXN0000023957,85110.5,SUCCESS,UPI,VND0000011
PAYMENT0000114,ACC0008580,BRW0007029,2026-07-10 07:57:49,TXN0000005284,42394.51,SUCCESS,NACH,VND0000013
PAYMENT0000115,ACC0021164,BRW0006708,2026-07-04 14:25:01,TXN0000025858,28357.11,SUCCESS,CASH,VND0000003
PAYMENT0000116,ACC0012686,BRW0010107,2026-06-30 00:28:08,TXN0000013196,96611.95,PENDING,UPI,VND0000005
PAYMENT0000117,ACC0022626,BRW0009574,2026-01-28 17:27:58,TXN0000033472,106170.53,SUCCESS,NACH,VND0000014
PAYMENT0000118,ACC0018912,BRW0003592,2026-04-09 22:33:35,TXN0000009916,89269.84,FAILED,CASH,VND0000005
PAYMENT0000119,ACC0019441,BRW0005394,2026-07-21 18:01:32,TXN0000012978,143973.69,FAILED,UPI,VND0000008
PAYMENT0000120,ACC0014978,BRW0009618,2026-02-26 10:36:49,TXN0000035050,144611.91,SUCCESS,NACH,VND0000004
PAYMENT0000121,ACC0024517,BRW0010321,2026-02-09 22:05:13,TXN0000033172,105222.83,FAILED,CARD,VND0000012
PAYMENT0000122,ACC0018554,BRW0007823,2026-06-14 05:41:54,TXN0000004794,87572.57,REVERSED,CASH,VND0000001
PAYMENT0000123,ACC0027777,BRW0011148,2026-01-25 15:00:13,TXN0000040424,58320.03,SUCCESS,NETBANKING,VND0000002
PAYMENT0000124,ACC0011628,BRW0011723,2026-02-27 10:37:38,TXN0000010911,133659.09,SUCCESS,CARD,VND0000003
PAYMENT0000125,ACC0014112,BRW0005931,2026-03-18 04:53:34,TXN0000062170,24816.58,FAILED,CARD,VND0000012
PAYMENT0000126,ACC0011241,BRW0005558,2026-07-28 05:34:43,TXN0000014493,14717.2,SUCCESS,UPI,VND0000001
PAYMENT0000127,ACC0007928,BRW0011684,2026-03-22 19:15:50,TXN0000025967,107676.46,SUCCESS,CARD,VND0000012
PAYMENT0000128,ACC0022102,BRW0010180,2026-04-15 20:05:59,TXN0000061690,92738.61,SUCCESS,NACH,VND0000004
PAYMENT0000129,ACC0022762,BRW0000960,2026-07-23 05:14:58,TXN0000015007,114632.19,SUCCESS,CARD,VND0000011
PAYMENT0000130,ACC0010924,BRW0007950,2026-07-05 03:07:17,TXN0000054519,10714.46,SUCCESS,UPI,VND0000010
PAYMENT0000131,ACC0006859,BRW0011264,2026-05-31 18:19:35,TXN0000064354,24623.99,SUCCESS,NETBANKING,VND0000012
PAYMENT0000132,ACC0020395,BRW0001156,2026-03-14 22:04:25,TXN0000035347,138332.2,SUCCESS,CASH,VND0000006
PAYMENT0000133,ACC0023881,BRW0003867,2026-01-26 00:21:28,TXN0000029567,67061.94,SUCCESS,UPI,VND0000008
PAYMENT0000134,ACC0004943,BRW0007627,2026-02-15 15:50:58,TXN0000042539,98708.8,FAILED,UPI,VND0000004
PAYMENT0000135,ACC0025827,BRW0001601,2026-06-04 09:45:32,TXN0000066232,113857.83,FAILED,CASH,VND0000004
PAYMENT0000136,ACC0005203,BRW0011321,2026-03-01 09:24:19,TXN0000063268,79219.31,FAILED,UPI,VND0000012
PAYMENT0000137,ACC0001791,BRW0000377,2026-05-01 09:23:30,TXN0000000498,20209.41,FAILED,CARD,VND0000009
PAYMENT0000138,ACC0000697,BRW0011940,2026-03-20 06:02:34,TXN0000044389,86074.85,SUCCESS,NETBANKING,VND0000015
PAYMENT0000139,ACC0003517,BRW0000698,2026-07-11 18:45:14,TXN0000055357,4080.1,SUCCESS,CARD,VND0000009
PAYMENT0000140,ACC0020712,BRW0007531,2026-07-03 06:58:23,TXN0000066440,149494.72,SUCCESS,NACH,VND0000003
PAYMENT0000141,ACC0028408,BRW0002853,2026-07-10 02:24:54,TXN0000055687,101909.34,SUCCESS,NACH,VND0000004
PAYMENT0000142,ACC0021693,BRW0006776,2026-01-25 22:34:13,TXN0000018768,53269.63,SUCCESS,CASH,VND0000004
PAYMENT0000143,ACC0011776,BRW0002029,2026-05-17 16:43:51,TXN0000011796,143713.75,SUCCESS,CARD,VND0000004
PAYMENT0000144,ACC0012971,BRW0002416,2026-05-06 03:14:00,TXN0000065424,82354.24,SUCCESS,CARD,VND0000010
PAYMENT0000145,ACC0024059,BRW0011620,2026-06-01 02:42:47,TXN0000032401,103378.65,SUCCESS,NETBANKING,VND0000006
PAYMENT0000146,ACC0007539,BRW0001872,2026-01-20 00:31:41,TXN0000004733,69234.71,SUCCESS,CARD,VND0000006
PAYMENT0000147,ACC0013653,BRW0009165,2026-07-18 22:06:57,TXN0000038514,44303.13,SUCCESS,NACH,VND0000004
PAYMENT0000148,ACC0018592,BRW0002437,2026-05-28 15:18:08,TXN0000016246,73629.38,SUCCESS,UPI,VND0000012
PAYMENT0000149,ACC0018444,BRW0005741,2026-07-25 03:04:14,TXN0000066565,96766.12,SUCCESS,CASH,VND0000013
PAYMENT0000150,ACC0014253,BRW0011812,2026-07-19 01:05:40,TXN0000059210,107010.75,PENDING,UPI,VND0000008
PAYMENT0000151,ACC0009993,BRW0011997,2026-04-30 08:08:08,TXN0000006341,7251.09,SUCCESS,NETBANKING,VND0000001
PAYMENT0000152,ACC0003746,BRW0002647,2026-01-26 21:35:33,TXN0000040763,136226.13,SUCCESS,CARD,VND0000005
PAYMENT0000153,ACC0028115,BRW0006986,2026-03-09 04:29:52,TXN0000024033,47454.26,SUCCESS,CARD,VND0000010
PAYMENT0000154,ACC0024849,BRW0009430,2026-04-02 22:17:21,,73382.67,FAILED,UPI,VND0000005
PAYMENT0000155,ACC0023259,BRW0008918,2026-07-16 19:08:35,TXN0000058451,149949.16,FAILED,CARD,VND0000014
PAYMENT0000156,ACC0007678,BRW0005482,2026-04-20 01:52:31,TXN0000034637,103612.23,FAILED,NETBANKING,VND0000001
PAYMENT0000157,ACC0004875,BRW0002936,2026-02-05 08:08:52,TXN0000027234,2601.86,SUCCESS,CASH,VND0000010
PAYMENT0000158,ACC0010335,BRW0008411,2026-05-10 07:05:31,TXN0000056057,89013.77,SUCCESS,NETBANKING,VND0000011
PAYMENT0000159,ACC0018428,BRW0011132,2026-07-16 20:09:30,TXN0000025601,111588.31,SUCCESS,CARD,VND0000006
PAYMENT0000160,ACC0005979,BRW0008073,2026-05-01 22:11:32,TXN0000041970,103047.14,REVERSED,CASH,VND0000014
PAYMENT0000161,ACC0026964,BRW0010359,2026-01-14 15:06:04,TXN0000012198,114117.92,SUCCESS,NACH,VND0000009
PAYMENT0000162,ACC0018361,BRW0011632,2026-03-30 08:48:11,TXN0000035499,122692.86,SUCCESS,NACH,VND0000006
PAYMENT0000163,ACC0021833,BRW0008524,2026-01-21 13:42:15,TXN0000040068,22762.91,SUCCESS,CARD,VND0000009
PAYMENT0000164,ACC0004697,BRW0001261,2026-06-15 22:27:55,TXN0000059112,149780.44,SUCCESS,NACH,VND0000003
PAYMENT0000165,ACC0008253,BRW0008818,2026-04-25 11:17:23,TXN0000061109,15244.45,SUCCESS,CARD,VND0000009
PAYMENT0000166,ACC0006135,BRW0010884,2026-04-18 17:11:07,TXN0000003780,40320.91,FAILED,NACH,VND0000004
PAYMENT0000167,ACC0019546,BRW0002587,2026-06-04 12:08:07,TXN0000034390,18063.92,PENDING,CARD,VND0000015
PAYMENT0000168,ACC0020209,BRW0011946,2026-04-04 02:30:16,TXN0000025718,136290.4,SUCCESS,CARD,VND0000011
PAYMENT0000169,ACC0003595,BRW0010746,2026-05-22 16:25:22,TXN0000056111,34208.34,FAILED,CARD,VND0000013
PAYMENT0000170,ACC0004753,BRW0010389,2026-02-20 15:40:43,TXN0000037688,143413.58,FAILED,NETBANKING,VND0000002
PAYMENT0000171,ACC0006167,BRW0005603,2026-06-04 07:41:11,TXN0000018344,56437.56,SUCCESS,CARD,VND0000002
PAYMENT0000172,ACC0010088,BRW0006803,2026-06-22 03:17:00,TXN0000030323,111998.96,SUCCESS,CASH,VND0000010
PAYMENT0000173,ACC0010737,BRW0004876,2026-02-24 05:39:55,TXN0000051043,48748.2,SUCCESS,NETBANKING,VND0000005
PAYMENT0000174,ACC0024280,BRW0010644,2026-02-20 02:26:42,TXN0000060652,52147.98,SUCCESS,CARD,VND0000011
PAYMENT0000175,ACC0010258,BRW0011694,2026-01-02 04:13:39,TXN0000027752,112476.01,SUCCESS,CARD,VND0000013
PAYMENT0000176,ACC0028692,BRW0000344,2026-04-16 22:55:45,TXN0000033163,4660.32,SUCCESS,CASH,VND0000007
PAYMENT0000177,ACC0018547,BRW0008474,2026-03-24 22:29:05,TXN0000065530,3229.11,SUCCESS,NACH,VND0000011
PAYMENT0000178,ACC0019798,BRW0001636,2026-03-25 02:49:54,TXN0000047093,107479.02,SUCCESS,UPI,VND0000008
PAYMENT0000179,ACC0012647,BRW0010646,2026-04-14 01:10:07,TXN0000061198,121328.43,SUCCESS,CARD,VND0000002
PAYMENT0000180,ACC0025039,BRW0002460,2026-05-20 21:48:50,TXN0000025144,126100.51,PENDING,CASH,VND0000012
PAYMENT0000181,ACC0026541,BRW0002790,2026-02-25 06:17:03,TXN0000055885,137958.54,SUCCESS,UPI,VND0000015
PAYMENT0000182,ACC0003314,BRW0008113,2026-04-29 04:54:53,TXN0000028808,121693.48,FAILED,CARD,VND0000001
PAYMENT0000183,ACC0022299,BRW0010560,2026-06-05 07:46:30,TXN0000061872,49876.9,SUCCESS,NACH,VND0000012
PAYMENT0000184,ACC0015300,BRW0010302,2026-07-13 06:16:48,TXN0000037326,127958.23,SUCCESS,NETBANKING,VND0000012
PAYMENT0000185,ACC0020304,BRW0002699,2026-05-05 16:01:42,TXN0000002060,10638.78,SUCCESS,UPI,VND0000010
PAYMENT0000186,ACC0019856,BRW0011852,2026-05-14 03:06:01,TXN0000062334,86382.66,FAILED,CARD,VND0000005
PAYMENT0000187,ACC0009093,BRW0005891,2026-05-12 14:35:52,TXN0000062001,62769.43,SUCCESS,CASH,VND0000001
PAYMENT0000188,ACC0011143,BRW0000796,2026-06-05 02:18:20,TXN0000026371,102693.66,SUCCESS,NETBANKING,VND0000002
PAYMENT0000189,ACC0015817,BRW0007333,2026-06-27 09:56:19,TXN0000037951,33841.69,SUCCESS,UPI,VND0000004
PAYMENT0000190,ACC0008922,BRW0010315,2026-08-04 06:05:43,,39739.8,SUCCESS,NACH,VND0000011
PAYMENT0000191,ACC0010334,BRW0005028,2026-08-01 11:08:18,TXN0000058827,146392.78,SUCCESS,NETBANKING,VND0000004
PAYMENT0000192,ACC0015919,BRW0007707,2026-04-24 19:51:17,TXN0000017986,122404.43,SUCCESS,UPI,VND0000010
PAYMENT0000193,ACC0005606,BRW0006898,2026-06-20 02:13:03,TXN0000002525,32998.16,SUCCESS,NETBANKING,VND0000015
PAYMENT0000194,ACC0027806,BRW0004493,2026-01-17 13:12:28,TXN0000031195,138924.73,SUCCESS,CARD,VND0000013
PAYMENT0000195,ACC0008557,BRW0003721,2026-02-08 17:29:08,TXN0000009752,24355.2,SUCCESS,CASH,VND0000001
PAYMENT0000196,ACC0015902,BRW0006346,2026-07-03 23:36:30,TXN0000027299,5055.6,SUCCESS,CASH,VND0000008
PAYMENT0000197,ACC0016834,BRW0009320,2026-03-01 08:53:14,TXN0000041676,128674.23,REVERSED,UPI,VND0000001
PAYMENT0000198,ACC0015555,BRW0009536,2026-03-08 21:18:59,TXN0000012116,58677.23,SUCCESS,NACH,VND0000007
PAYMENT0000199,ACC0000056,BRW0001872,2026-05-12 22:49:22,TXN0000069967,81814.0,SUCCESS,NETBANKING,VND0000012
PAYMENT0000200,ACC0012966,BRW0003184,2026-01-09 11:36:39,TXN0000029882,145078.96,PENDING,CARD,VND0000003
PAYMENT0000201,ACC0021176,BRW0011047,2026-07-27 12:46:02,TXN0000033039,30298.31,SUCCESS,NACH,VND0000007
PAYMENT0000202,ACC0010057,BRW0008054,2026-03-20 04:14:47,TXN0000055262,123177.25,SUCCESS,CARD,VND0000010
PAYMENT0000203,ACC0008998,BRW0006106,2026-05-05 17:25:56,TXN0000048370,41370.71,SUCCESS,NACH,VND0000007
PAYMENT0000204,ACC0002942,BRW0004045,2026-01-22 11:28:38,TXN0000005295,123384.08,SUCCESS,NETBANKING,VND0000005
PAYMENT0000205,ACC0019616,BRW0005940,2026-03-07 10:38:32,TXN0000040104,44066.11,REVERSED,UPI,VND0000006
PAYMENT0000206,ACC0023776,BRW0007232,2026-05-14 06:16:49,TXN0000068687,71355.31,SUCCESS,CASH,VND0000003
PAYMENT0000207,ACC0022267,BRW0002154,2026-06-15 04:13:26,TXN0000055898,118159.53,SUCCESS,NACH,VND0000005
