attempt_id,account_id,borrower_id,event_at,call_id,agent_id,attempt_no,vendor_id,attempt_status
ATTEMPT0000021,ACC0003922,BRW0004833,2026-01-18 20:30:55,CALL0040287,AGT0000320,3,VND0000003,CONNECTED
ATTEMPT0000022,ACC0019806,BRW0005501,2026-05-03 02:36:25,CALL0075145,AGT0000910,3,VND0000009,NO_ANSWER
ATTEMPT0000023,ACC0009472,BRW0001917,2026-07-30 04:24:06,CALL0005021,AGT0000261,4,VND0000006,FAILED
ATTEMPT0000024,ACC0020762,BRW0007060,2026-06-29 02:04:02,CALL0029842,AGT0000839,5,VND0000014,CONNECTED
ATTEMPT0000025,ACC0017537,BRW0006829,2026-05-31 15:32:04,CALL0067399,AGT0000056,7,VND0000001,CONNECTED
ATTEMPT0000026,ACC0022758,BRW0003765,2026-04-30 12:19:20,CALL0071914,AGT0000949,7,VND0000007,FAILED
ATTEMPT0000027,ACC0000123,BRW0003434,2026-01-01 19:48:57,CALL0082818,AGT0000680,5,VND0000001,CONNECTED
ATTEMPT0000028,ACC0020094,BRW0008723,2026-06-03 22:24:50,CALL0057656,AGT0000213,5,VND0000003,CONNECTED
ATTEMPT0000029,ACC0021139,BRW0005453,2026-05-18 13:33:27,CALL0057383,AGT0000948,6,VND0000015,FAILED
ATTEMPT0000030,ACC0020025,BRW0006245,2026-07-29 15:45:29,CALL0003958,AGT0000979,3,VND0000009,CONNECTED
ATTEMPT0000031,ACC0000427,BRW0002905,2026-07-16 23:12:06,CALL0073834,AGT0000064,5,VND0000012,CONNECTED
ATTEMPT0000032,ACC0019357,BRW0009986,2026-07-15 06:39:09,CALL0040688,AGT0000949,5,VND0000008,FAILED
ATTEMPT0000033,ACC0015613,BRW0005212,2026-03-13 11:43:23,CALL0040085,AGT0000656,4,VND0000002,RINGING
ATTEMPT0000034,ACC0029997,BRW0005999,2026-05-03 13:55:13,CALL0082035,AGT0000290,1,VND0000004,RINGING
ATTEMPT0000035,ACC0007422,BRW0010035,2026-08-05 08:12:40,CALL0021135,AGT0000965,3,VND0000012,NO_ANSWER
ATTEMPT0000036,ACC0025111,BRW0005088,2026-05-01 15:16:23,CALL0075886,AGT0000242,5,VND0000003,FAILED
ATTEMPT0000037,ACC0001902,BRW0001270,2026-08-03 13:59:53,CALL0003081,AGT0000705,2,VND0000014,NO_ANSWER
ATTEMPT0000038,ACC0013603,BRW0005942,2026-07-18 15:34:00,CALL0059425,AGT0000761,7,VND0000011,CONNECTED
ATTEMPT0000039,ACC0005866,BRW0006093,2026-06-11 16:35:19,CALL0053165,AGT0000540,4,VND0000011,FAILED
ATTEMPT0000040,ACC0008340,BRW0007858,2026-03-13 01:51:15,CALL0076186,AGT0000925,7,VND0000013,CONNECTED
ATTEMPT0000041,ACC0002477,BRW0003062,2026-05-08 23:22:24,CALL0038332,AGT0000091,5,VND0000014,CONNECTED
ATTEMPT0000042,ACC0010726,BRW0008458,2026-05-20 17:45:08,CALL0084023,AGT0000037,3,VND0000001,FAILED
ATTEMPT0000043,ACC0018799,BRW0004498,2026-07-02 21:47:43,CALL0022303,AGT0000567,2,VND0000010,NO_ANSWER
ATTEMPT0000044,ACC0026319,BRW0001437,2026-02-27 18:50:32,CALL0048113,AGT0000686,4,VND0000004,FAILED
ATTEMPT0000045,ACC0025547,BRW0011930,2026-02-18 21:32:39,CALL0029428,AGT0000742,4,VND0000001,BUSY
ATTEMPT0000046,ACC0019478,BRW0007706,2026-07-05 14:24:14,CALL0068984,AGT0000254,3,VND0000006,BUSY
ATTEMPT0000047,ACC0014573,BRW0006709,2026-01-22 13:12:35,CALL0082135,AGT0000754,2,VND0000001,NO_ANSWER
ATTEMPT0000048,ACC0027482,BRW0011541,2026-05-21 18:35:21,CALL0027023,AGT0000185,6,VND0000006,FAILED
ATTEMPT0000049,ACC0023606,BRW0001281,2026-07-26 06:18:10,CALL0000188,AGT0000051,2,VND0000015,RINGING
ATTEMPT0000050,ACC0026887,BRW0003019,2026-07-30 11:07:32,CALL0011747,AGT0000541,4,VND0000007,FAILED
ATTEMPT0000051,ACC0024599,BRW0003921,2026-01-11 10:29:08,CALL0067142,AGT0000873,7,VND0000003,FAILED
ATTEMPT0000052,ACC0009835,BRW0006558,2026-06-09 17:42:57,CALL0050148,AGT0000866,3,VND0000005,FAILED
ATTEMPT0000053,ACC0014978,BRW0002645,2026-04-03 10:42:55,CALL0089725,AGT0000934,5,VND0000010,FAILED
ATTEMPT0000054,ACC0011661,BRW0005735,2026-05-01 08:55:38,CALL0055091,AGT0000413,4,VND0000001,RINGING
ATTEMPT0000055,ACC0010207,BRW0000150,2026-07-27 01:01:37,CALL0087046,AGT0000934,1,VND0000004,RINGING
ATTEMPT0000056,ACC0005951,BRW0002863,2026-07-11 01:11:41,CALL0081567,AGT0000540,5,VND0000006,RINGING
ATTEMPT0000057,ACC0022933,BRW0008579,2026-07-21 23:27:45,CALL0038715,AGT0000835,1,VND0000008,CONNECTED
ATTEMPT0000058,ACC0015316,BRW0004075,2026-04-05 22:28:17,CALL0050802,AGT0000797,5,,CONNECTED
ATTEMPT0000059,ACC0018914,BRW0000291,2026-01-09 17:47:48,CALL0034287,AGT0000042,1,VND0000013,CONNECTED
ATTEMPT0000060,ACC0008611,BRW0006043,2026-05-24 17:39:08,CALL0070276,AGT0000193,3,VND0000003,FAILED
ATTEMPT0000061,ACC0026196,BRW0007254,2026-01-01 05:56:43,CALL0030255,AGT0000674,4,VND0000010,BUSY
ATTEMPT0000062,ACC0021072,BRW0009556,2026-03-15 17:56:55,CALL0024314,AGT0000555,3,VND0000009,BUSY
ATTEMPT0000063,ACC0016343,BRW0003851,2026-07-30 14:49:31,CALL0074193,AGT0000162,6,VND0000006,BUSY
ATTEMPT0000064,ACC0010116,BRW0010392,2026-01-10 13:56:35,CALL0082469,AGT0000101,7,VND0000009,CONNECTED
ATTEMPT0000065,ACC0016419,BRW0010374,2026-02-01 09:39:16,CALL0052760,AGT0000836,2,VND0000002,BUSY
ATTEMPT0000066,ACC0014239,BRW0008030,2026-06-30 22:51:53,CALL0016221,AGT0000945,7,VND0000004,CONNECTED
ATTEMPT0000067,ACC0013463,BRW0008896,2026-05-07 09:56:39,CALL0074452,AGT0000942,2,VND0000012,NO_ANSWER
ATTEMPT0000068,ACC0001500,BRW0002214,2026-04-18 01:37:10,CALL0007723,AGT0000851,4,VND0000006,FAILED
ATTEMPT0000069,ACC0008210,BRW0003124,2026-02-07 02:40:13,CALL0062195,AGT0000486,1,VND0000014,CONNECTED
ATTEMPT0000070,ACC0004150,BRW0008446,2026-03-02 03:53:28,CALL0065117,AGT0000450,5,VND0000012,CONNECTED
ATTEMPT0000071,ACC0012990,BRW0007807,2026-07-11 14:09:49,CALL0061909,AGT0000641,5,VND0000003,CONNECTED
ATTEMPT0000072,ACC0029553,BRW0009886,2026-07-26 21:15:11,CALL0035686,AGT0000434,3,VND0000005,RINGING
ATTEMPT0000073,ACC0027899,BRW0006233,2026-01-03 20:32:55,CALL0062700,AGT0000570,2,VND0000005,FAILED
ATTEMPT0000074,ACC0023923,BRW0007784,2026-04-20 00:44:01,CALL0059715,AGT0000232,2,VND0000002,RINGING
ATTEMPT0000075,ACC0000596,BRW0011394,2026-08-05 06:45:25,CALL0018041,AGT0000456,3,VND0000004,BUSY
ATTEMPT0000076,ACC0021398,BRW0006267,2026-02-27 11:06:27,CALL0007733,AGT0000595,7,VND0000014,NO_ANSWER
ATTEMPT0000077,ACC0013752,BRW0011699,2026-05-13 07:00:21,CALL0052052,AGT0000038,5,VND0000010,BUSY
ATTEMPT0000078,ACC0023998,BRW0005738,2026-07-02 09:40:02,CALL0081388,AGT0000259,6,VND0000003,FAILED
ATTEMPT0000079,ACC0025016,BRW0004565,2026-03-21 05:12:14,CALL0042878,AGT0000315,5,VND0000003,FAILED
ATTEMPT0000080,ACC0029460,BRW0004254,2026-06-15 07:21:15,CALL0022849,AGT0000725,4,VND0000011,CONNECTED
ATTEMPT0000081,ACC0007714,BRW0008399,2026-01-21 12:44:56,CALL0041342,AGT0000282,6,VND0000010,RINGING
ATTEMPT0000082,ACC0011905,BRW0011539,2026-03-07 04:55:17,CALL0016954,AGT0000747,7,VND0000009,RINGING
ATTEMPT0000083,ACC0013075,BRW0001757,2026-01-15 03:36:10,CALL0005295,AGT0000461,2,VND0000015,CONNECTED
ATTEMPT0000084,ACC0010455,BRW0007591,2026-05-11 21:11:22,CALL0045300,AGT0000901,3,VND0000014,FAILED
ATTEMPT0000085,ACC0002921,BRW0010385,2026-02-02 07:18:19,CALL0013797,AGT0000538,4,VND0000004,RINGING
ATTEMPT0000086,ACC0013632,BRW0010317,2026-07-05 12:08:07,CALL0046629,AGT0000351,1,VND0000002,RINGING
ATTEMPT0000087,ACC0016523,BRW0002922,2026-02-21 11:57:32,CALL0011702,AGT0000757,6,VND0000001,NO_ANSWER
ATTEMPT0000088,ACC0027477,BRW0001776,2026-01-16 13:32:18,CALL0088682,AGT0000114,5,VND0000003,NO_ANSWER
ATTEMPT0000089,ACC0007646,BRW0009617,2026-04-30 21:41:33,CALL0020631,AGT0000118,1,VND0000005,CONNECTED
ATTEMPT0000090,ACC0006586,BRW0010105,2026-03-13 15:27:42,CALL0063623,AGT0000036,4,VND0000010,NO_ANSWER
ATTEMPT0000091,ACC0022323,BRW0007822,2026-04-04 11:09:30,CALL0032992,AGT0000977,4,VND0000006,FAILED
ATTEMPT0000092,ACC0004645,BRW0000434,2026-07-16 18:22:38,CALL0088937,AGT0000640,1,VND0000011,RINGING
ATTEMPT0000093,ACC0026368,BRW0011333,2026-07-26 07:39:14,CALL0063420,AGT0000709,4,VND0000006,NO_ANSWER
ATTEMPT0000094,ACC0029698,BRW0007718,2026-02-11 01:36:02,CALL0075775,AGT0000024,3,VND0000004,RINGING
ATTEMPT0000095,ACC0011292,BRW0008456,2026-05-14 13:07:19,CALL0064846,AGT0000984,2,VND0000010,NO_ANSWER
ATTEMPT0000096,ACC0025058,BRW0011758,2026-01-07 17:11:42,CALL0013991,AGT0000743,5,VND0000015,BUSY
ATTEMPT0000097,ACC0017265,BRW0003162,2026-05-23 03:32:18,CALL0022968,AGT0000405,3,VND0000015,BUSY
ATTEMPT0000098,ACC0006250,BRW0010637,2026-02-11 16:53:58,CALL0020804,AGT0000251,4,,CONNECTED
ATTEMPT0000099,ACC0018866,BRW0011888,2026-08-03 01:09:27,CALL0043643,AGT0000573,7,VND0000008,CONNECTED
ATTEMPT0000100,ACC0004334,BRW0003081,2026-06-23 16:20:28,CALL0068051,AGT0000779,3,VND0000003,CONNECTED
ATTEMPT0000101,ACC0026998,BRW0008934,2026-06-09 06:34:53,CALL0050875,AGT0000181,1,VND0000013,RINGING
ATTEMPT0000102,ACC0026081,BRW0007039,2026-05-16 06:58:20,CALL0043967,AGT0000952,7,VND0000001,BUSY
ATTEMPT0000103,ACC0003947,BRW0011532,2026-01-07 11:55:37,CALL0047177,AGT0000569,6,VND0000001,CONNECTED
ATTEMPT0000104,ACC0007038,BRW0005817,2026-02-20 08:45:29,CALL0012719,AGT0000335,6,VND0000002,RINGING
ATTEMPT0000105,ACC0023918,BRW0004491,2026-05-31 00:18:06,CALL0062096,AGT0000113,6,VND0000006,NO_ANSWER
ATTEMPT0000106,ACC0013429,BRW0001856,2026-04-12 09:09:01,CALL0020015,AGT0000677,2,VND0000006,FAILED
ATTEMPT0000107,ACC0005303,BRW0007275,2026-06-21 12:23:47,CALL0041213,AGT0000160,4,VND0000013,BUSY
ATTEMPT0000108,ACC0023911,BRW0007008,2026-03-20 03:34:58,CALL0038321,AGT0000206,1,VND0000012,BUSY
ATTEMPT0000109,ACC0009973,BRW0009443,2026-03-23 17:25:16,CALL0053879,AGT0000672,3,VND0000003,BUSY
ATTEMPT0000110,ACC0017372,BRW0002726,2026-07-19 09:30:00,CALL0064954,AGT0000675,3,VND0000010,NO_ANSWER
ATTEMPT0000111,ACC0013279,BRW0000102,2026-03-09 10:17:56,CALL0056579,AGT0000664,4,VND0000015,CONNECTED
ATTEMPT0000112,ACC0026911,BRW0006947,2026-05-17 23:26:26,CALL0051167,AGT0000265,2,VND0000015,FAILED
ATTEMPT0000113,ACC0003775,BRW0007655,2026-04-21 15:55:49,CALL0020936,AGT0000028,7,VND0000010,NO_ANSWER
ATTEMPT0000114,ACC0028178,BRW0010542,2026-07-28 04:10:14,CALL0029523,AGT0000249,6,VND0000006,FAILED
ATTEMPT0000115,ACC0011583,BRW0004241,2026-02-09 11:44:00,CALL0039285,AGT0000145,5,VND0000002,BUSY
ATTEMPT0000116,ACC0017783,BRW0008560,2026-04-23 04:17:12,CALL0042727,AGT0000703,6,VND0000009,FAILED
ATTEMPT0000117,ACC0023874,BRW0007246,2026-05-19 19:29:04,CALL0004233,AGT0000953,3,VND0000006,NO_ANSWER
ATTEMPT0000118,ACC0024519,BRW0007055,2026-02-10 16:32:45,CALL0081608,AGT0000945,7,VND0000001,NO_ANSWER
ATTEMPT0000119,ACC0001252,BRW0000349,2026-07-09 22:20:07,CALL0074444,AGT0000006,5,VND0000002,FAILED
ATTEMPT0000120,ACC0016147,BRW0011347,2026-05-07 20:41:28,CALL0041755,AGT0000835,5,VND0000007,CONNECTED
ATTEMPT0000121,ACC0024919,BRW0004874,2026-06-30 01:00:47,CALL0033870,AGT0000251,6,VND0000013,RINGING
ATTEMPT0000122,ACC0006803,BRW0011110,2026-05-14 07:43:08,CALL0036897,AGT0000717,6,VND0000006,NO_ANSWER
ATTEMPT0000123,ACC0019049,BRW0000288,2026-02-13 09:50:27,CALL0077085,AGT0000726,4,VND0000013,RINGING
ATTEMPT0000124,ACC0006309,BRW0004719,2026-02-12 12:36:15,CALL0062723,AGT0000349,6,VND0000012,NO_ANSWER
ATTEMPT0000125,ACC0025917,BRW0011610,2026-08-01 05:39:15,CALL0031916,AGT0000853,2,VND0000006,RINGING
ATTEMPT0000126,ACC0025882,BRW0001501,2026-06-11 13:45:23,CALL0020177,AGT0000584,5,VND0000014,RINGING
ATTEMPT0000127,ACC0011528,BRW0002285,2026-01-24 09:54:37,CALL0046917,AGT0000257,3,VND0000011,RINGING
ATTEMPT0000128,ACC0023712,BRW0009212,2026-01-24 19:48:14,CALL0063709,AGT0000713,3,VND0000005,FAILED
ATTEMPT0000129,ACC0011830,BRW0002809,2026-04-02 22:43:27,CALL0052091,AGT0000726,3,VND0000004,CONNECTED
ATTEMPT0000130,ACC0028254,BRW0005874,2026-04-13 23:07:34,CALL0035536,AGT0000335,6,VND0000010,FAILED
ATTEMPT0000131,ACC0001083,BRW0006517,2026-08-08 16:30:47,CALL0001922,AGT0000501,5,VND0000006,NO_ANSWER
ATTEMPT0000132,ACC0023327,BRW0011436,2026-02-26 04:54:58,CALL0071519,AGT0000306,7,VND0000010,CONNECTED
ATTEMPT0000133,ACC0014186,BRW0010318,2026-03-24 09:32:28,CALL0017205,AGT0000812,3,VND0000002,RINGING
ATTEMPT0000134,ACC0028359,BRW0002542,2026-04-28 21:14:08,CALL0083530,AGT0000635,4,VND0000014,RINGING
ATTEMPT0000135,ACC0013832,BRW0010005,2026-03-12 08:35:27,CALL0002949,AGT0000816,5,VND0000011,FAILED
ATTEMPT0000136,ACC0019207,BRW0000740,2026-06-10 05:16:51,CALL0076542,AGT0000989,1,VND0000006,CONNECTED
ATTEMPT0000137,ACC0018081,BRW0002946,2026-01-05 20:26:42,CALL0041440,AGT0000723,2,,FAILED
ATTEMPT0000138,ACC0017628,BRW0006244,2026-01-17 16:11:18,CALL0089537,AGT0000950,7,VND0000003,RINGING
ATTEMPT0000139,ACC0024221,BRW0010194,2026-05-29 22:42:56,CALL0053460,AGT0000192,6,VND0000013,FAILED
ATTEMPT0000140,ACC0025989,BRW0000927,2026-05-23 06:10:46,CALL0068312,AGT0000718,7,VND0000008,CONNECTED
ATTEMPT0000141,ACC0000938,BRW0006470,2026-07-21 12:34:10,CALL0005612,AGT0000036,2,VND0000004,FAILED
ATTEMPT0000142,ACC0019102,BRW0000725,2026-07-24 21:27:42,CALL0088612,AGT0000720,7,VND0000002,BUSY
ATTEMPT0000143,ACC0021948,BRW0008765,2026-01-31 20:17:25,CALL0088478,AGT0000331,6,VND0000011,RINGING
ATTEMPT0000144,ACC0000729,BRW0008416,2026-06-11 06:09:44,CALL0002889,AGT0000180,2,VND0000005,BUSY
ATTEMPT0000145,ACC0012353,BRW0000289,2026-06-26 05:55:53,CALL0026590,AGT0000801,2,VND0000012,RINGING
ATTEMPT0000146,ACC0028687,BRW0009353,2026-08-02 22:55:13,CALL0025991,AGT0000741,5,VND0000009,FAILED
ATTEMPT0000147,ACC0028165,BRW0000760,2026-03-01 08:28:03,CALL0006047,AGT0000040,5,VND0000002,BUSY
ATTEMPT0000148,ACC0001652,BRW0009996,2026-01-12 15:43:54,CALL0049046,AGT0000866,7,VND0000014,BUSY
ATTEMPT0000149,ACC0021155,BRW0010663,2026-05-07 02:55:41,CALL0010934,AGT0000183,4,VND0000010,NO_ANSWER
ATTEMPT0000150,ACC0012437,BRW0007141,2026-03-16 18:57:28,CALL0000456,AGT0000042,3,VND0000014,NO_ANSWER
ATTEMPT0000151,ACC0015974,BRW0008688,2026-05-28 08:40:47,CALL0045013,AGT0000261,7,VND0000013,FAILED
ATTEMPT0000152,ACC0003274,BRW0004386,2026-06-20 13:19:17,CALL0063985,AGT0000678,4,VND0000002,CONNECTED
ATTEMPT0000153,ACC0017387,BRW0002474,2026-02-06 06:55:27,CALL0076306,AGT0000116,7,,CONNECTED
ATTEMPT0000154,ACC0006412,BRW0007264,2026-06-04 13:45:00,CALL0075001,AGT0000904,3,VND0000013,NO_ANSWER
ATTEMPT0000155,ACC0027600,BRW0004770,2026-07-19 09:23:48,CALL0052518,AGT0000162,4,VND0000007,NO_ANSWER
ATTEMPT0000156,ACC0004107,BRW0004016,2026-01-07 12:49:47,CALL0084629,AGT0000877,1,VND0000010,CONNECTED
ATTEMPT0000157,ACC0002716,BRW0008298,2026-05-12 23:52:34,CALL0050488,AGT0000287,3,VND0000014,RINGING
ATTEMPT0000158,ACC0009912,BRW0003628,2026-02-26 06:30:33,CALL0077223,AGT0000145,7,VND0000013,RINGING
ATTEMPT0000159,ACC0027607,BRW0011030,2026-04-09 07:50:46,CALL0026420,AGT0000340,5,VND0000002,FAILED
ATTEMPT0000160,ACC0020636,BRW0001485,2026-04-21 16:04:35,CALL0012501,AGT0000327,7,VND0000006,BUSY
ATTEMPT0000161,ACC0029143,BRW0009717,2026-04-26 19:02:36,CALL0005805,AGT0000184,4,VND0000001,FAILED
ATTEMPT0000162,ACC0023654,BRW0000839,2026-03-11 20:13:21,CALL0073401,AGT0000752,4,VND0000008,CONNECTED
ATTEMPT0000163,ACC0024433,BRW0011100,2026-02-23 13:55:43,CALL0058984,AGT0000407,1,VND0000005,RINGING
ATTEMPT0000164,ACC0002222,BRW0001307,2026-07-15 06:36:06,CALL0017723,AGT0000840,3,VND0000007,CONNECTED
ATTEMPT0000165,ACC0013264,BRW0001167,2026-01-31 16:21:02,CALL0058826,AGT0000233,4,VND0000005,NO_ANSWER
ATTEMPT0000166,ACC0003808,BRW0008592,2026-05-13 15:39:24,CALL0031273,AGT0000861,3,VND0000002,BUSY
ATTEMPT0000167,ACC0008407,BRW0005787,2026-06-09 06:40:03,CALL0078367,AGT0000670,2,VND0000009,CONNECTED
ATTEMPT0000168,ACC0016818,BRW0005095,2026-06-03 05:47:29,CALL0079852,AGT0000572,7,VND0000009,FAILED
ATTEMPT0000169,ACC0000589,BRW0007441,2026-05-22 12:15:08,CALL0021607,AGT0000499,1,VND0000014,NO_ANSWER
ATTEMPT0000170,ACC0023668,BRW0009580,2026-07-09 07:32:01,CALL0074795,AGT0000898,4,VND0000005,FAILED
ATTEMPT0000171,ACC0012204,BRW0004020,2026-04-10 16:16:07,CALL0055082,AGT0000119,1,VND0000011,RINGING
ATTEMPT0000172,ACC0017132,BRW0000392,2026-03-30 06:03:47,CALL0053628,AGT0000272,7,VND0000007,CONNECTED
ATTEMPT0000173,ACC0017070,BRW0008454,2026-06-20 13:00:21,CALL0024617,AGT0000202,7,VND0000009,CONNECTED
ATTEMPT0000174,ACC0002264,BRW0003758,2026-05-04 17:10:31,CALL0063921,AGT0000930,2,VND0000012,NO_ANSWER
ATTEMPT0000175,ACC0019259,BRW0007414,2026-02-04 06:05:05,CALL0072289,AGT0000762,1,VND0000015,FAILED
ATTEMPT0000176,ACC0013791,BRW0009484,2026-06-21 03:42:14,CALL0084019,AGT0000242,7,VND0000004,BUSY
ATTEMPT0000177,ACC0018066,BRW0002432,2026-04-16 05:32:52,CALL0032682,AGT0000852,5,VND0000012,NO_ANSWER
ATTEMPT0000178,ACC0029397,BRW0000306,2026-06-30 19:47:45,CALL0026997,AGT0000979,7,VND0000012,NO_ANSWER
ATTEMPT0000179,ACC0008672,BRW0002034,2026-04-25 07:10:57,CALL0011790,AGT0000259,7,VND0000002,BUSY
ATTEMPT0000180,ACC0023796,BRW0001581,2026-06-30 20:27:32,CALL0074097,AGT0000728,4,VND0000014,RINGING
ATTEMPT0000181,ACC0024697,BRW0003291,2026-01-19 01:22:49,CALL0038823,AGT0000834,3,VND0000009,BUSY
ATTEMPT0000182,ACC0017396,BRW0010318,2026-06-26 02:11:36,CALL0081628,AGT0000253,4,VND0000011,FAILED
ATTEMPT0000183,ACC0018563,BRW0000934,2026-02-15 19:45:50,CALL0014282,AGT0000493,6,VND0000008,CONNECTED
ATTEMPT0000184,ACC0006515,BRW0008287,2026-01-01 14:06:55,CALL0041057,AGT0000710,5,VND0000004,FAILED
ATTEMPT0000185,ACC0007282,BRW0003888,2026-04-09 11:51:08,CALL0074897,AGT0000744,1,VND0000011,BUSY
ATTEMPT0000186,ACC0009960,BRW0011044,2026-02-25 15:23:55,CALL0088709,AGT0000372,3,VND0000002,CONNECTED
ATTEMPT0000187,ACC0014191,BRW0009921,2026-03-09 17:28:27,CALL0066018,AGT0000943,4,VND0000015,NO_ANSWER
ATTEMPT0000188,ACC0009944,BRW0005800,2026-04-29 21:25:05,CALL0086254,AGT0000503,7,VND0000009,RINGING
ATTEMPT0000189,ACC0004110,BRW0006730,2026-07-16 17:55:14,CALL0051471,AGT0000655,6,VND0000005,NO_ANSWER
ATTEMPT0000190,ACC0006348,BRW0009920,2026-07-07 05:57:54,CALL0021929,AGT0000910,3,VND0000008,NO_ANSWER
ATTEMPT0000191,ACC0025945,BRW0010179,2026-02-15 08:47:02,CALL0066325,AGT0000815,6,VND0000006,NO_ANSWER
ATTEMPT0000192,ACC0004103,BRW0001237,2026-04-18 02:32:56,CALL0045068,AGT0000368,7,VND0000006,FAILED
ATTEMPT0000193,ACC0011585,BRW0011635,2026-06-21 08:52:09,CALL0038089,AGT0000316,1,VND0000012,CONNECTED
ATTEMPT0000194,ACC0015050,BRW0010912,2026-05-18 10:51:29,CALL0070582,AGT0000381,6,VND0000003,CONNECTED
ATTEMPT0000195,ACC0029604,BRW0008873,2026-01-29 13:30:49,CALL0075386,AGT0000868,7,VND0000001,BUSY
ATTEMPT0000196,ACC0012458,BRW0007669,2026-06-21 05:33:58,CALL0050967,AGT0000706,4,VND0000007,FAILED
ATTEMPT0000197,ACC0028536,BRW0003122,2026-02-20 22:41:15,CALL0002641,AGT0000686,2,VND0000004,RINGING
ATTEMPT0000198,ACC0016316,BRW0001117,2026-04-08 22:58:48,CALL0034081,AGT0000750,7,VND0000003,FAILED
ATTEMPT0000199,ACC0006857,BRW0006232,2026-01-01 21:33:45,CALL0009110,AGT0000343,5,VND0000009,CONNECTED
ATTEMPT0000200,ACC0018532,BRW0008135,2026-06-04 06:19:48,CALL0046784,AGT0000186,5,VND0000007,RINGING
ATTEMPT0000201,ACC0004600,BRW0010958,2026-02-12 23:59:57,CALL0060231,AGT0000968,7,VND0000001,RINGING
ATTEMPT0000202,ACC0003344,BRW0007468,2026-05-09 21:18:16,CALL0061010,AGT0000527,1,VND0000008,NO_ANSWER
ATTEMPT0000203,ACC0020606,BRW0000735,2026-02-19 14:32:53,CALL0036190,AGT0000764,4,VND0000015,RINGING
ATTEMPT0000204,ACC0002198,BRW0005776,2026-03-16 14:06:47,CALL0036056,AGT0000827,4,VND0000015,BUSY
ATTEMPT0000205,ACC0003657,BRW0010119,2026-01-07 12:17:39,CALL0039367,AGT0000010,6,VND0000007,NO_ANSWER
ATTEMPT0000206,ACC0003787,BRW0010049,2026-04-18 04:15:02,CALL0008258,AGT0000439,3,VND0000010,RINGING
ATTEMPT0000207,ACC0016021,BRW0009837,2026-04-23 03:09:30,CALL0021328,AGT0000238,7,VND0000014,BUSY
ATTEMPT0000208,ACC0022828,BRW0004506,2026-03-06 23:05:39,CALL0040269,AGT0000294,2,VND0000003,BUSY
ATTEMPT0000209,ACC0029953,BRW0004199,2026-02-22 17:04:24,CALL0018782,AGT0000308,2,VND0000002,CONNECTED
ATTEMPT0000210,ACC0017308,BRW0001216,2026-06-26 18:16:08,CALL0000253,AGT0000829,7,VND0000007,BUSY
