whatsapp_event_id,account_id,borrower_id,event_at,message_id,event_type,template_code,provider_id
WHATSAPP_EVENT0000034,ACC0011337,BRW0006583,2026-02-19 07:38:41,MSG000005317,DELIVERED,PAYMENT_LINK,VND0000003
WHATSAPP_EVENT0000035,ACC0022990,BRW0009831,2026-02-27 01:52:35,MSG000037965,SENT,REMINDER_01,VND0000004
WHATSAPP_EVENT0000036,ACC0000060,BRW0004959,2026-07-01 04:11:08,MSG000045015,READ,FIELD_VISIT,VND0000008
WHATSAPP_EVENT0000037,ACC0002998,BRW0003469,2026-02-10 16:27:32,MSG000009017,PAYMENT_CLICK,FIELD_VISIT,VND0000001
WHATSAPP_EVENT0000038,ACC0024117,BRW0001586,2026-05-22 01:44:15,MSG000003486,DELIVERED,PTP_01,VND0000003
WHATSAPP_EVENT0000039,ACC0006767,BRW0006102,2026-07-18 09:37:46,MSG000038517,READ,FIELD_VISIT,VND0000002
WHATSAPP_EVENT0000040,ACC0012109,BRW0001192,2026-02-18 09:25:00,MSG000047132,DELIVERED,LEGAL_NOTICE,VND0000006
WHATSAPP_EVENT0000041,ACC0006162,BRW0002221,2026-08-05 23:43:28,MSG000033539,READ,PTP_01,VND0000012
WHATSAPP_EVENT0000042,ACC0006577,BRW0004632,2026-02-27 05:56:03,MSG000023102,REPLIED,FIELD_VISIT,VND0000015
WHATSAPP_EVENT0000043,ACC0022658,BRW0003443,2026-07-12 05:51:39,MSG000045055,DELIVERED,REMINDER_01,VND0000012
WHATSAPP_EVENT0000044,ACC0026199,BRW0004126,2026-01-13 23:12:44,MSG000016325,FAILED,PTP_01,VND0000013
WHATSAPP_EVENT0000045,ACC0011699,BRW0009882,2026-02-10 04:01:49,MSG000001282,PAYMENT_CLICK,LEGAL_NOTICE,VND0000008
WHATSAPP_EVENT0000046,ACC0020734,BRW0006888,2026-08-06 09:11:24,MSG000037602,PAYMENT_CLICK,REMINDER_01,VND0000004
WHATSAPP_EVENT0000047,ACC0004305,BRW0007991,2026-05-23 16:05:19,MSG000009005,REPLIED,FIELD_VISIT,VND0000011
WHATSAPP_EVENT0000048,ACC0024908,BRW0010169,2026-06-10 06:22:33,MSG000037497,DELIVERED,FIELD_VISIT,VND0000014
WHATSAPP_EVENT0000049,ACC0013220,BRW0011842,2026-06-18 05:49:01,MSG000004825,REPLIED,REMINDER_01,VND0000010
WHATSAPP_EVENT0000050,ACC0007150,BRW0011943,2026-04-12 19:09:02,MSG000029434,SENT,REMINDER_01,VND0000015
WHATSAPP_EVENT0000051,ACC0000013,BRW0005989,2026-05-22 22:16:31,MSG000031818,FAILED,LEGAL_NOTICE,VND0000004
WHATSAPP_EVENT0000052,ACC0024216,BRW0010617,2026-08-05 20:11:23,MSG000014869,REPLIED,FIELD_VISIT,VND0000004
WHATSAPP_EVENT0000053,ACC0021099,BRW0007952,2026-05-11 14:25:18,MSG000008268,FAILED,PAYMENT_LINK,VND0000003
WHATSAPP_EVENT0000054,ACC0013709,BRW0003356,2026-04-08 02:49:17,MSG000048848,FAILED,FIELD_VISIT,VND0000006
WHATSAPP_EVENT0000055,ACC0011649,BRW0011171,2026-02-20 22:29:29,MSG000039118,FAILED,PAYMENT_LINK,VND0000007
WHATSAPP_EVENT0000056,ACC0005485,BRW0010542,2026-08-08 04:23:59,MSG000030059,PAYMENT_CLICK,REMINDER_01,VND0000010
WHATSAPP_EVENT0000057,ACC0002716,BRW0000596,2026-07-21 11:59:28,MSG000029588,PAYMENT_CLICK,FIELD_VISIT,VND0000008
WHATSAPP_EVENT0000058,ACC0026519,BRW0001467,2026-07-18 01:02:24,MSG000049438,SENT,REMINDER_01,VND0000002
WHATSAPP_EVENT0000059,ACC0026419,BRW0007500,2026-07-07 00:44:24,MSG000040305,DELIVERED,PAYMENT_LINK,VND0000011
WHATSAPP_EVENT0000060,ACC0017544,BRW0006898,2026-01-21 06:17:33,MSG000002190,SENT,REMINDER_01,VND0000002
WHATSAPP_EVENT0000061,ACC0029372,BRW0010731,2026-07-25 16:31:13,MSG000034606,REPLIED,REMINDER_01,VND0000010
WHATSAPP_EVENT0000062,ACC0005963,BRW0002648,2026-03-17 10:27:25,MSG000040721,FAILED,PAYMENT_LINK,VND0000007
WHATSAPP_EVENT0000063,ACC0013757,BRW0010795,2026-03-07 11:11:54,MSG000019827,REPLIED,PAYMENT_LINK,VND0000005
WHATSAPP_EVENT0000064,ACC0028440,BRW0001341,2026-08-07 21:04:21,MSG000029868,READ,LEGAL_NOTICE,VND0000003
WHATSAPP_EVENT0000065,ACC0004185,BRW0010856,2026-01-13 02:16:06,MSG000021049,REPLIED,LEGAL_NOTICE,VND0000012
WHATSAPP_EVENT0000066,ACC0025257,BRW0001248,2026-07-14 04:53:44,MSG000015467,READ,PTP_01,VND0000001
WHATSAPP_EVENT0000067,ACC0019815,BRW0003952,2026-01-14 04:52:20,MSG000012650,READ,PAYMENT_LINK,VND0000013
WHATSAPP_EVENT0000068,ACC0001385,BRW0011952,2026-06-23 19:40:22,MSG000040783,FAILED,LEGAL_NOTICE,VND0000010
WHATSAPP_EVENT0000069,ACC0026281,BRW0010074,2026-01-11 14:22:15,MSG000002834,READ,PAYMENT_LINK,VND0000004
WHATSAPP_EVENT0000070,ACC0002489,BRW0011452,2026-06-30 02:42:29,MSG000016096,READ,PAYMENT_LINK,VND0000008
WHATSAPP_EVENT0000071,ACC0015554,BRW0008958,2026-01-04 05:31:15,MSG000020232,PAYMENT_CLICK,PTP_01,VND0000011
WHATSAPP_EVENT0000072,ACC0008122,BRW0007626,2026-05-01 02:20:08,MSG000003640,REPLIED,FIELD_VISIT,VND0000012
WHATSAPP_EVENT0000073,ACC0023924,BRW0011006,2026-02-27 05:47:52,MSG000003355,SENT,PTP_01,VND0000009
WHATSAPP_EVENT0000074,ACC0007958,BRW0008825,2026-01-19 09:24:00,MSG000022468,REPLIED,REMINDER_01,VND0000013
WHATSAPP_EVENT0000075,ACC0028667,BRW0003062,2026-02-16 14:03:37,MSG000031392,READ,FIELD_VISIT,VND0000004
WHATSAPP_EVENT0000076,ACC0016164,BRW0003048,2026-05-20 07:46:03,MSG000030533,REPLIED,PTP_01,VND0000001
WHATSAPP_EVENT0000077,ACC0027891,BRW0009118,2026-03-27 19:23:08,MSG000017714,REPLIED,PAYMENT_LINK,VND0000011
WHATSAPP_EVENT0000078,ACC0013705,BRW0002514,2026-07-25 15:34:13,MSG000048089,SENT,LEGAL_NOTICE,VND0000008
WHATSAPP_EVENT0000079,ACC0005693,BRW0011247,2026-03-05 06:07:10,MSG000018493,REPLIED,FIELD_VISIT,VND0000007
WHATSAPP_EVENT0000080,ACC0015068,BRW0006596,2026-05-05 04:46:12,MSG000013346,REPLIED,LEGAL_NOTICE,VND0000014
WHATSAPP_EVENT0000081,ACC0018025,BRW0000305,2026-02-08 14:32:41,MSG000049968,PAYMENT_CLICK,PAYMENT_LINK,VND0000002
WHATSAPP_EVENT0000082,ACC0004046,BRW0005893,2026-02-07 14:20:18,MSG000022940,DELIVERED,PAYMENT_LINK,VND0000011
WHATSAPP_EVENT0000083,ACC0026598,BRW0011488,2026-07-21 05:40:52,MSG000039018,DELIVERED,REMINDER_01,VND0000002
WHATSAPP_EVENT0000084,ACC0003358,BRW0007684,2026-02-12 23:31:01,MSG000017508,READ,PAYMENT_LINK,VND0000008
WHATSAPP_EVENT0000085,ACC0028246,BRW0006248,2026-06-27 08:44:28,MSG000018848,READ,PTP_01,VND0000015
WHATSAPP_EVENT0000086,ACC0008077,BRW0009966,2026-07-31 05:06:36,MSG000007274,READ,REMINDER_01,VND0000012
WHATSAPP_EVENT0000087,ACC0013974,BRW0000608,2026-07-27 03:28:08,MSG000047065,FAILED,FIELD_VISIT,VND0000008
WHATSAPP_EVENT0000088,ACC0018882,BRW0009159,2026-05-06 20:00:22,MSG000012890,REPLIED,PAYMENT_LINK,VND0000011
WHATSAPP_EVENT0000089,ACC0016745,BRW0002886,2026-02-11 11:35:23,MSG000000012,REPLIED,REMINDER_01,VND0000005
WHATSAPP_EVENT0000090,ACC0001354,BRW0008028,2026-04-30 15:16:30,MSG000018404,READ,FIELD_VISIT,VND0000003
WHATSAPP_EVENT0000091,ACC0016062,BRW0008820,2026-06-11 08:40:38,MSG000026499,DELIVERED,REMINDER_01,VND0000015
WHATSAPP_EVENT0000092,ACC0011140,BRW0004124,2026-02-27 18:35:13,MSG000041566,REPLIED,PTP_01,VND0000005
WHATSAPP_EVENT0000093,ACC0023918,BRW0001107,2026-01-25 04:14:46,MSG000021901,READ,PAYMENT_LINK,VND0000012
WHATSAPP_EVENT0000094,ACC0004644,BRW0006333,2026-07-21 10:51:51,MSG000035117,PAYMENT_CLICK,PTP_01,VND0000007
WHATSAPP_EVENT0000095,ACC0010639,BRW0010444,2026-01-06 03:20:40,MSG000013892,REPLIED,PTP_01,VND0000014
WHATSAPP_EVENT0000096,ACC0009336,BRW0002748,2026-06-15 14:57:32,MSG000013740,PAYMENT_CLICK,PTP_01,VND0000002
WHATSAPP_EVENT0000097,ACC0018735,BRW0011050,2026-06-13 21:35:12,MSG000044102,DELIVERED,PTP_01,VND0000004
WHATSAPP_EVENT0000098,ACC0005958,BRW0004192,2026-04-24 21:16:31,MSG000037482,REPLIED,PAYMENT_LINK,VND0000005
WHATSAPP_EVENT0000099,ACC0025292,BRW0006376,2026-03-06 16:42:51,MSG000037927,PAYMENT_CLICK,REMINDER_01,VND0000003
WHATSAPP_EVENT0000100,ACC0007088,BRW0002249,2026-07-23 06:20:21,MSG000023315,READ,PTP_01,VND0000013
WHATSAPP_EVENT0000101,ACC0013761,BRW0008349,2026-06-04 07:50:09,MSG000017401,READ,PTP_01,VND0000015
WHATSAPP_EVENT0000102,ACC0002198,BRW0003182,2026-03-31 18:03:29,MSG000026567,SENT,LEGAL_NOTICE,VND0000003
WHATSAPP_EVENT0000103,ACC0010210,BRW0000177,2026-01-21 01:16:27,MSG000009186,DELIVERED,LEGAL_NOTICE,VND0000008
WHATSAPP_EVENT0000104,ACC0027310,BRW0006795,2026-06-25 21:19:43,MSG000013918,REPLIED,PAYMENT_LINK,VND0000006
WHATSAPP_EVENT0000105,ACC0012923,BRW0010075,2026-02-23 00:03:24,MSG000013541,SENT,PAYMENT_LINK,VND0000002
WHATSAPP_EVENT0000106,ACC0017013,BRW0002437,2026-07-02 03:53:10,MSG000040540,READ,PAYMENT_LINK,VND0000009
WHATSAPP_EVENT0000107,ACC0015663,BRW0010728,2026-01-31 13:07:17,MSG000026317,FAILED,LEGAL_NOTICE,VND0000005
WHATSAPP_EVENT0000108,ACC0007354,BRW0010429,2026-07-23 03:35:14,MSG000028072,FAILED,FIELD_VISIT,VND0000002
WHATSAPP_EVENT0000109,ACC0015126,BRW0001799,2026-08-02 20:15:15,MSG000026471,FAILED,LEGAL_NOTICE,VND0000009
WHATSAPP_EVENT0000110,ACC0024314,BRW0001374,2026-04-25 05:56:49,MSG000034207,REPLIED,PTP_01,VND0000014
WHATSAPP_EVENT0000111,ACC0018394,BRW0007122,2026-08-03 18:40:19,MSG000024052,REPLIED,PTP_01,VND0000009
WHATSAPP_EVENT0000112,ACC0011615,BRW0010562,2026-02-03 02:53:32,MSG000031333,REPLIED,LEGAL_NOTICE,VND0000012
WHATSAPP_EVENT0000113,ACC0021651,BRW0009202,2026-05-26 09:55:41,MSG000033726,PAYMENT_CLICK,PAYMENT_LINK,VND0000014
WHATSAPP_EVENT0000114,ACC0010030,BRW0005885,2026-07-27 15:39:06,MSG000010791,PAYMENT_CLICK,PTP_01,VND0000009
WHATSAPP_EVENT0000115,ACC0021037,BRW0005234,2026-02-08 19:29:35,MSG000027033,PAYMENT_CLICK,FIELD_VISIT,VND0000011
WHATSAPP_EVENT0000116,ACC0009213,BRW0004475,2026-07-25 16:28:51,MSG000003531,FAILED,REMINDER_01,VND0000004
WHATSAPP_EVENT0000117,ACC0009428,BRW0008645,2026-06-26 21:31:35,MSG000038742,READ,PAYMENT_LINK,VND0000013
WHATSAPP_EVENT0000118,ACC0019588,BRW0003663,2026-06-01 07:51:09,MSG000002647,DELIVERED,PAYMENT_LINK,VND0000015
WHATSAPP_EVENT0000119,ACC0002826,BRW0009703,2026-07-26 16:14:53,MSG000003986,REPLIED,PAYMENT_LINK,VND0000007
WHATSAPP_EVENT0000120,ACC0010776,BRW0011256,2026-03-08 05:01:23,MSG000010020,FAILED,REMINDER_01,VND0000013
WHATSAPP_EVENT0000121,ACC0007407,BRW0011114,2026-07-09 05:09:10,MSG000001108,READ,REMINDER_01,VND0000004
WHATSAPP_EVENT0000122,ACC0028991,BRW0009140,2026-05-12 18:57:58,MSG000002230,DELIVERED,PTP_01,VND0000011
WHATSAPP_EVENT0000123,ACC0023531,BRW0008924,2026-06-01 22:21:22,MSG000031261,REPLIED,PTP_01,VND0000007
WHATSAPP_EVENT0000124,ACC0004134,BRW0007469,2026-05-12 13:32:13,MSG000017632,REPLIED,REMINDER_01,VND0000009
WHATSAPP_EVENT0000125,ACC0000486,BRW0001332,2026-03-30 13:38:26,MSG000042870,FAILED,REMINDER_01,VND0000011
WHATSAPP_EVENT0000126,ACC0004960,BRW0009359,2026-02-10 12:08:03,MSG000027311,PAYMENT_CLICK,FIELD_VISIT,VND0000005
WHATSAPP_EVENT0000127,ACC0029173,BRW0009553,2026-04-16 03:22:09,MSG000039843,REPLIED,REMINDER_01,VND0000011
WHATSAPP_EVENT0000128,ACC0020308,BRW0001967,2026-07-17 02:15:05,MSG000025386,READ,REMINDER_01,VND0000006
WHATSAPP_EVENT0000129,ACC0007165,BRW0005058,2026-01-27 13:58:45,MSG000014405,PAYMENT_CLICK,FIELD_VISIT,VND0000009
WHATSAPP_EVENT0000130,ACC0029307,BRW0008304,2026-01-05 10:17:57,MSG000011207,DELIVERED,PTP_01,VND0000013
WHATSAPP_EVENT0000131,ACC0015664,BRW0010080,2026-04-28 21:15:15,MSG000013658,DELIVERED,REMINDER_01,VND0000004
WHATSAPP_EVENT0000132,ACC0023116,BRW0006235,2026-05-08 18:24:29,MSG000029764,DELIVERED,PAYMENT_LINK,VND0000010
WHATSAPP_EVENT0000133,ACC0002986,BRW0001071,2026-08-03 01:08:33,MSG000026152,SENT,PAYMENT_LINK,VND0000014
WHATSAPP_EVENT0000134,ACC0022848,BRW0007629,2026-01-23 13:43:23,MSG000000593,DELIVERED,REMINDER_01,VND0000013
WHATSAPP_EVENT0000135,ACC0011809,BRW0004540,2026-06-14 09:27:49,MSG000038895,DELIVERED,FIELD_VISIT,VND0000015
WHATSAPP_EVENT0000136,ACC0017383,BRW0011898,2026-06-28 02:06:50,MSG000032245,REPLIED,FIELD_VISIT,VND0000009
WHATSAPP_EVENT0000137,ACC0015481,BRW0001518,2026-05-21 21:29:57,MSG000037425,REPLIED,PTP_01,VND0000010
WHATSAPP_EVENT0000138,ACC0025853,BRW0010633,2026-06-02 03:25:47,MSG000018519,READ,PAYMENT_LINK,VND0000006
WHATSAPP_EVENT0000139,ACC0010417,BRW0006048,2026-05-17 10:21:16,MSG000035274,REPLIED,FIELD_VISIT,VND0000011
WHATSAPP_EVENT0000140,ACC0020424,BRW0011519,2026-06-19 11:31:41,MSG000003863,READ,FIELD_VISIT,VND0000007
WHATSAPP_EVENT0000141,ACC0008637,BRW0011648,2026-07-21 18:53:26,MSG000015401,SENT,LEGAL_NOTICE,VND0000001
WHATSAPP_EVENT0000142,ACC0006436,BRW0008146,2026-04-27 07:06:05,MSG000037873,REPLIED,FIELD_VISIT,VND0000002
WHATSAPP_EVENT0000143,ACC0000311,BRW0007838,2026-06-07 11:37:54,MSG000047167,DELIVERED,FIELD_VISIT,VND0000001
WHATSAPP_EVENT0000144,ACC0020360,BRW0000659,2026-05-27 07:42:47,MSG000016772,FAILED,LEGAL_NOTICE,VND0000007
WHATSAPP_EVENT0000145,ACC0009339,BRW0005360,2026-05-09 13:57:45,MSG000038199,PAYMENT_CLICK,PTP_01,VND0000010
WHATSAPP_EVENT0000146,ACC0006944,BRW0006573,2026-01-05 14:30:33,MSG000044443,REPLIED,FIELD_VISIT,VND0000012
WHATSAPP_EVENT0000147,ACC0018909,BRW0001451,2026-04-25 05:43:42,MSG000043367,READ,LEGAL_NOTICE,VND0000003
WHATSAPP_EVENT0000148,ACC0009058,BRW0006421,2026-05-16 12:47:22,MSG000027302,DELIVERED,LEGAL_NOTICE,VND0000013
WHATSAPP_EVENT0000149,ACC0026290,BRW0007056,2026-03-25 02:38:43,MSG000034124,PAYMENT_CLICK,LEGAL_NOTICE,VND0000001
WHATSAPP_EVENT0000150,ACC0022898,BRW0009854,2026-06-03 03:23:59,MSG000005016,DELIVERED,PTP_01,VND0000009
WHATSAPP_EVENT0000151,ACC0009513,BRW0011568,2026-07-08 23:59:18,MSG000045125,PAYMENT_CLICK,REMINDER_01,VND0000003
WHATSAPP_EVENT0000152,ACC0005190,BRW0008534,2026-07-08 13:34:58,MSG000004207,DELIVERED,PAYMENT_LINK,VND0000002
WHATSAPP_EVENT0000153,ACC0029385,BRW0006788,2026-06-06 06:30:01,MSG000018791,FAILED,PTP_01,VND0000011
WHATSAPP_EVENT0000154,ACC0028502,BRW0007279,2026-01-08 00:28:29,MSG000030465,SENT,FIELD_VISIT,VND0000009
WHATSAPP_EVENT0000155,ACC0000533,BRW0009071,2026-03-03 06:16:17,MSG000044320,FAILED,FIELD_VISIT,VND0000015
WHATSAPP_EVENT0000156,ACC0010277,BRW0011982,2026-06-13 11:35:38,MSG000029764,REPLIED,FIELD_VISIT,VND0000005
WHATSAPP_EVENT0000157,ACC0018654,BRW0002748,2026-02-19 04:37:34,MSG000003759,SENT,REMINDER_01,VND0000002
WHATSAPP_EVENT0000158,ACC0024397,BRW0005810,2026-01-26 06:42:40,MSG000003717,PAYMENT_CLICK,FIELD_VISIT,VND0000010
WHATSAPP_EVENT0000159,ACC0000801,BRW0006248,2026-02-24 17:37:11,MSG000010044,DELIVERED,PAYMENT_LINK,VND0000004
WHATSAPP_EVENT0000160,ACC0012739,BRW0003033,2026-02-25 17:59:09,MSG000048882,DELIVERED,REMINDER_01,VND0000009
WHATSAPP_EVENT0000161,ACC0016858,BRW0011873,2026-08-06 00:34:19,MSG000006231,PAYMENT_CLICK,REMINDER_01,VND0000004
WHATSAPP_EVENT0000162,ACC0019447,BRW0009971,2026-08-04 21:47:04,MSG000045123,DELIVERED,PTP_01,VND0000007
WHATSAPP_EVENT0000163,ACC0006318,BRW0008660,2026-06-22 08:46:43,MSG000023956,READ,LEGAL_NOTICE,VND0000003
WHATSAPP_EVENT0000164,ACC0016887,BRW0005821,2026-02-06 17:44:02,MSG000029140,FAILED,PTP_01,VND0000004
WHATSAPP_EVENT0000165,ACC0010380,BRW0006707,2026-04-12 07:10:17,MSG000012143,SENT,PAYMENT_LINK,VND0000008
WHATSAPP_EVENT0000166,ACC0018652,BRW0002705,2026-03-13 13:20:48,MSG000046634,READ,PAYMENT_LINK,VND0000009
WHATSAPP_EVENT0000167,ACC0007186,BRW0006765,2026-07-27 13:22:31,MSG000045826,REPLIED,LEGAL_NOTICE,VND0000009
WHATSAPP_EVENT0000168,ACC0019447,BRW0010413,2026-07-02 18:40:01,MSG000043819,SENT,PAYMENT_LINK,VND0000005
WHATSAPP_EVENT0000169,ACC0007584,BRW0008873,2026-01-11 02:05:49,MSG000035022,FAILED,PAYMENT_LINK,VND0000010
WHATSAPP_EVENT0000170,ACC0009524,BRW0004372,2026-06-06 17:29:18,MSG000002199,REPLIED,LEGAL_NOTICE,VND0000004
WHATSAPP_EVENT0000171,ACC0023012,BRW0006235,2026-03-08 18:42:06,MSG000026603,REPLIED,PAYMENT_LINK,VND0000010
WHATSAPP_EVENT0000172,ACC0016604,BRW0006807,2026-07-06 10:04:24,MSG000000530,READ,PAYMENT_LINK,VND0000004
WHATSAPP_EVENT0000173,ACC0010660,BRW0007042,2026-03-29 06:16:03,MSG000015057,READ,PTP_01,VND0000006
WHATSAPP_EVENT0000174,ACC0003415,BRW0005905,2026-01-20 15:11:03,MSG000035236,PAYMENT_CLICK,FIELD_VISIT,VND0000014
WHATSAPP_EVENT0000175,ACC0004067,BRW0006862,2026-05-17 18:28:46,MSG000019956,DELIVERED,REMINDER_01,VND0000001
WHATSAPP_EVENT0000176,ACC0014299,BRW0006088,2026-08-04 00:42:29,MSG000038561,SENT,PAYMENT_LINK,VND0000001
WHATSAPP_EVENT0000177,ACC0019233,BRW0005472,2026-08-03 16:31:14,MSG000003121,DELIVERED,FIELD_VISIT,VND0000013
WHATSAPP_EVENT0000178,ACC0002923,BRW0005614,2026-08-05 19:19:51,MSG000017334,PAYMENT_CLICK,PAYMENT_LINK,VND0000001
WHATSAPP_EVENT0000179,ACC0018870,BRW0007907,2026-05-13 03:05:34,MSG000021816,SENT,FIELD_VISIT,VND0000006
WHATSAPP_EVENT0000180,ACC0028385,BRW0009766,2026-03-19 15:46:07,MSG000023101,READ,REMINDER_01,VND0000011
WHATSAPP_EVENT0000181,ACC0008291,BRW0007317,2026-02-27 23:18:09,MSG000031314,FAILED,REMINDER_01,VND0000002
WHATSAPP_EVENT0000182,ACC0024196,BRW0005671,2026-08-03 04:38:54,MSG000030222,PAYMENT_CLICK,PTP_01,VND0000008
WHATSAPP_EVENT0000183,ACC0029707,BRW0006888,2026-07-15 02:47:01,MSG000027929,REPLIED,PAYMENT_LINK,VND0000006
WHATSAPP_EVENT0000184,ACC0014299,BRW0003866,2026-06-12 11:40:46,MSG000044202,PAYMENT_CLICK,LEGAL_NOTICE,VND0000015
WHATSAPP_EVENT0000185,ACC0005411,BRW0001260,2026-06-16 12:45:31,MSG000017670,FAILED,PTP_01,VND0000001
WHATSAPP_EVENT0000186,ACC0001570,BRW0002165,2026-03-27 17:09:50,MSG000016658,FAILED,FIELD_VISIT,VND0000014
WHATSAPP_EVENT0000187,ACC0025977,BRW0011378,2026-07-13 06:17:27,MSG000049359,PAYMENT_CLICK,FIELD_VISIT,VND0000008
WHATSAPP_EVENT0000188,ACC0007078,BRW0003210,2026-03-13 21:04:50,MSG000030335,READ,REMINDER_01,VND0000010
WHATSAPP_EVENT0000189,ACC0017684,BRW0009538,2026-03-19 09:15:03,MSG000027920,PAYMENT_CLICK,REMINDER_01,VND0000003
WHATSAPP_EVENT0000190,ACC0014474,BRW0005845,2026-08-03 13:52:11,MSG000006977,SENT,REMINDER_01,VND0000007
WHATSAPP_EVENT0000191,ACC0022357,BRW0006333,2026-01-09 17:41:33,MSG000012599,READ,PAYMENT_LINK,VND0000006
WHATSAPP_EVENT0000192,ACC0026230,BRW0009266,2026-05-01 05:31:26,MSG000018418,DELIVERED,LEGAL_NOTICE,VND0000009
WHATSAPP_EVENT0000193,ACC0002200,BRW0003260,2026-01-16 12:31:44,MSG000019040,DELIVERED,PTP_01,VND0000015
WHATSAPP_EVENT0000194,ACC0006548,BRW0009095,2026-06-18 19:25:51,MSG000025707,PAYMENT_CLICK,FIELD_VISIT,VND0000006
