disposition_id,account_id,borrower_id,event_at,call_id,agent_id,disposition_code,disposition_version
DISPOSITION0000033,ACC0029389,BRW0007453,2026-02-08 16:25:57,CALL0003294,AGT0000873,CALLBACK,legacy
DISPOSITION0000034,ACC0006247,BRW0008243,2026-03-25 04:46:06,CALL0011416,AGT0000924,DISPUTE,v2
DISPOSITION0000035,ACC0010669,BRW0008526,2026-07-25 00:27:56,CALL0063428,AGT0000693,PTP_BROKEN,legacy
DISPOSITION0000036,ACC0013382,BRW0005368,2026-08-04 11:59:46,CALL0049618,AGT0000311,REFUSED,v1
DISPOSITION0000037,ACC0022674,BRW0001453,2026-05-14 14:11:18,CALL0081913,AGT0000757,NO_CONTACT,legacy
DISPOSITION0000038,ACC0005078,BRW0010924,2026-07-09 01:59:42,CALL0062631,AGT0000413,WRONG_NUMBER,legacy
DISPOSITION0000039,ACC0028801,BRW0006904,2026-07-07 22:41:05,CALL0044530,AGT0000339,PAID,v1
DISPOSITION0000040,ACC0003533,BRW0007769,2026-06-27 02:33:43,CALL0066227,AGT0000302,WRONG_NUMBER,v2
DISPOSITION0000041,ACC0013437,BRW0009503,2026-03-18 22:36:23,CALL0036365,AGT0000853,REFUSED,legacy
DISPOSITION0000042,ACC0009514,BRW0004065,2026-08-07 21:27:28,CALL0069651,AGT0000277,DISPUTE,v1
DISPOSITION0000043,ACC0022292,BRW0002647,2026-02-06 21:09:50,CALL0074387,AGT0000410,NO_CONTACT,legacy
DISPOSITION0000044,ACC0006635,BRW0003750,2026-03-12 06:48:58,CALL0046126,AGT0000840,NO_CONTACT,v1
DISPOSITION0000045,ACC0025275,BRW0001911,2026-03-08 09:04:40,CALL0001580,AGT0000083,REFUSED,v2
DISPOSITION0000046,ACC0011822,BRW0003307,2026-02-03 20:11:49,CALL0038174,AGT0000051,NO_CONTACT,legacy
DISPOSITION0000047,ACC0017186,BRW0008822,2026-05-19 06:15:59,CALL0031940,AGT0000170,NO_CONTACT,v2
DISPOSITION0000048,ACC0001091,BRW0002997,2026-07-09 10:54:51,CALL0057769,AGT0000826,CALLBACK,v2
DISPOSITION0000049,ACC0028746,BRW0001933,2026-08-04 18:35:33,CALL0053935,AGT0000383,PROMISE_TO_PAY,v1
DISPOSITION0000050,ACC0028569,BRW0006132,2026-04-05 19:15:43,CALL0057407,AGT0000776,PAID,legacy
DISPOSITION0000051,ACC0005900,BRW0005527,2026-04-12 01:50:50,CALL0061522,AGT0000777,WRONG_NUMBER,legacy
DISPOSITION0000052,ACC0026649,BRW0007141,2026-02-27 06:48:28,CALL0076099,AGT0000429,NO_CONTACT,v2
DISPOSITION0000053,ACC0028789,BRW0008292,2026-08-07 23:04:35,CALL0061459,AGT0000690,PROMISE_TO_PAY,legacy
DISPOSITION0000054,ACC0013413,BRW0000827,2026-02-27 09:04:48,CALL0069051,AGT0000780,NO_CONTACT,legacy
DISPOSITION0000055,ACC0018303,BRW0004190,2026-02-24 06:12:09,CALL0023946,AGT0000784,NO_CONTACT,v2
DISPOSITION0000056,ACC0007955,BRW0005044,2026-05-06 11:43:54,CALL0062390,AGT0000230,CALLBACK,v2
DISPOSITION0000057,ACC0024335,BRW0008406,2026-01-22 09:24:16,CALL0067110,AGT0000014,REFUSED,legacy
DISPOSITION0000058,ACC0029098,BRW0003740,2026-02-09 23:24:17,CALL0061152,AGT0000384,PAID,v1
DISPOSITION0000059,ACC0009696,BRW0005862,2026-02-15 06:23:45,CALL0079997,AGT0000457,PTP_BROKEN,v1
DISPOSITION0000060,ACC0011565,BRW0010838,2026-03-26 14:17:42,CALL0071815,AGT0000765,CALLBACK,v2
DISPOSITION0000061,ACC0017203,BRW0003053,2026-06-17 22:48:00,CALL0000747,AGT0000273,PTP_BROKEN,v1
DISPOSITION0000062,ACC0001115,BRW0001553,2026-04-05 19:09:50,CALL0044416,AGT0000599,PTP,v1
DISPOSITION0000063,ACC0009203,BRW0011785,2026-01-06 18:07:37,CALL0014211,AGT0000708,WRONG_NUMBER,legacy
DISPOSITION0000064,ACC0008389,BRW0003702,2026-05-27 14:47:02,CALL0024314,AGT0000533,REFUSED,v1
DISPOSITION0000065,ACC0005354,BRW0008956,2026-02-24 03:16:42,CALL0008303,AGT0000355,CALLBACK,v1
DISPOSITION0000066,ACC0012358,BRW0009882,2026-04-20 22:57:51,CALL0031333,AGT0000819,PAID,v1
DISPOSITION0000067,ACC0007572,BRW0009537,2026-04-04 23:59:25,CALL0007535,AGT0000138,WRONG_NUMBER,v1
DISPOSITION0000068,ACC0017637,BRW0007632,2026-04-09 18:19:09,CALL0067596,AGT0000332,NO_CONTACT,v2
DISPOSITION0000069,ACC0019871,BRW0008514,2026-08-02 15:03:55,CALL0011037,AGT0000135,PROMISE_TO_PAY,v2
DISPOSITION0000070,ACC0022056,BRW0009509,2026-02-13 09:55:28,CALL0066027,AGT0000141,PTP,v2
DISPOSITION0000071,ACC0012943,BRW0008339,2026-05-19 05:08:20,CALL0031597,AGT0000220,PROMISE_TO_PAY,v1
DISPOSITION0000072,ACC0007199,BRW0002490,2026-06-10 06:52:12,CALL0007334,AGT0000516,NO_CONTACT,v2
DISPOSITION0000073,ACC0002791,BRW0004698,2026-07-10 10:39:37,CALL0048081,AGT0000379,PROMISE_TO_PAY,v1
DISPOSITION0000074,ACC0011127,BRW0001003,2026-01-31 14:26:48,CALL0049250,AGT0000854,PTP_BROKEN,v2
DISPOSITION0000075,ACC0027794,BRW0011722,2026-03-31 18:35:54,CALL0061749,AGT0000193,WRONG_NUMBER,v2
DISPOSITION0000076,ACC0021195,BRW0007027,2026-01-10 23:18:29,CALL0043440,AGT0000127,PTP,v2
DISPOSITION0000077,ACC0024157,BRW0007181,2026-07-25 19:05:48,CALL0014943,AGT0000620,WRONG_NUMBER,v1
DISPOSITION0000078,ACC0001288,BRW0001183,2026-05-28 05:06:05,CALL0050606,AGT0000065,PTP_BROKEN,legacy
DISPOSITION0000079,ACC0018715,BRW0000291,2026-04-26 08:11:54,CALL0051118,AGT0000456,PAID,legacy
DISPOSITION0000080,ACC0010122,BRW0001814,2026-04-30 00:14:05,CALL0078433,AGT0000664,NO_CONTACT,v2
DISPOSITION0000081,ACC0003310,BRW0011010,2026-03-24 08:55:44,CALL0006631,AGT0000745,PTP_BROKEN,v1
DISPOSITION0000082,ACC0008142,BRW0005022,2026-08-04 01:07:26,CALL0026129,AGT0000996,PROMISE_TO_PAY,legacy
DISPOSITION0000083,ACC0026063,BRW0008525,2026-02-03 12:17:11,CALL0043560,AGT0000102,DISPUTE,v1
DISPOSITION0000084,ACC0014043,BRW0006105,2026-05-29 07:53:16,CALL0029029,AGT0000258,PAID,legacy
DISPOSITION0000085,ACC0002334,BRW0002556,2026-04-05 06:50:54,CALL0083452,AGT0000746,WRONG_NUMBER,legacy
DISPOSITION0000086,ACC0009476,BRW0005402,2026-07-06 03:00:53,CALL0051887,AGT0000384,PROMISE_TO_PAY,v1
DISPOSITION0000087,ACC0022559,BRW0005021,2026-01-25 10:12:10,CALL0084356,AGT0000627,REFUSED,v2
DISPOSITION0000088,ACC0028537,BRW0001219,2026-05-20 03:04:25,CALL0059127,AGT0000074,DISPUTE,v1
DISPOSITION0000089,ACC0000690,BRW0000121,2026-01-18 11:08:33,CALL0083518,AGT0000980,WRONG_NUMBER,v1
DISPOSITION0000090,ACC0008069,BRW0007084,2026-01-06 17:30:27,CALL0055245,AGT0000649,CALLBACK,v2
DISPOSITION0000091,ACC0026489,BRW0009544,2026-04-30 23:51:05,CALL0007724,AGT0000586,CALLBACK,v2
DISPOSITION0000092,ACC0000973,BRW0006754,2026-06-08 12:15:59,CALL0078968,AGT0000673,NO_CONTACT,v1
DISPOSITION0000093,ACC0019315,BRW0004484,2026-04-13 07:10:30,CALL0041919,AGT0000155,PAID,v1
DISPOSITION0000094,ACC0004268,BRW0003469,2026-02-09 15:57:07,CALL0085838,AGT0000024,PTP_BROKEN,v1
DISPOSITION0000095,ACC0006908,BRW0009331,2026-03-27 10:37:37,CALL0033927,AGT0000303,PTP,v2
DISPOSITION0000096,ACC0022493,BRW0007231,2026-07-20 17:41:01,CALL0080562,AGT0000579,NO_CONTACT,v2
DISPOSITION0000097,ACC0014963,BRW0007988,2026-05-26 06:54:32,CALL0017747,AGT0000956,NO_CONTACT,legacy
DISPOSITION0000098,ACC0014576,BRW0002952,2026-07-09 18:43:17,CALL0047430,AGT0000433,DISPUTE,legacy
DISPOSITION0000099,ACC0001980,BRW0004949,2026-05-20 21:10:42,CALL0087508,AGT0000490,PAID,v2
DISPOSITION0000100,ACC0015634,BRW0007121,2026-01-25 03:35:08,CALL0000282,AGT0000090,NO_CONTACT,v1
DISPOSITION0000101,ACC0009069,BRW0000243,2026-06-11 02:39:46,CALL0031269,AGT0000766,PTP,v1
DISPOSITION0000102,ACC0023846,BRW0007384,2026-06-12 22:57:53,CALL0041731,AGT0000214,PAID,v2
DISPOSITION0000103,ACC0013354,BRW0009676,2026-04-14 03:51:20,CALL0079911,AGT0000143,PTP_BROKEN,v2
DISPOSITION0000104,ACC0018853,BRW0003176,2026-03-10 12:56:50,CALL0005169,AGT0000316,PROMISE_TO_PAY,v1
DISPOSITION0000105,ACC0021709,BRW0002052,2026-01-17 11:28:57,CALL0047381,AGT0000557,DISPUTE,legacy
DISPOSITION0000106,ACC0025015,BRW0004006,2026-01-25 18:54:22,CALL0077745,AGT0000019,PTP_BROKEN,v1
DISPOSITION0000107,ACC0000150,BRW0006774,2026-05-23 19:40:13,CALL0072683,AGT0000124,PTP_BROKEN,v2
DISPOSITION0000108,ACC0003590,BRW0007707,2026-06-04 07:19:54,CALL0063646,AGT0000937,PTP,v1
DISPOSITION0000109,ACC0026680,BRW0006236,2026-07-17 09:29:53,CALL0073560,AGT0000556,PROMISE_TO_PAY,legacy
DISPOSITION0000110,ACC0005760,BRW0006787,2026-05-30 22:47:18,CALL0089861,AGT0000821,WRONG_NUMBER,legacy
DISPOSITION0000111,ACC0020760,BRW0009024,2026-03-29 04:58:34,CALL0027901,AGT0000190,DISPUTE,v2
DISPOSITION0000112,ACC0006363,BRW0003364,2026-04-22 09:16:19,CALL0070421,AGT0000281,CALLBACK,v2
DISPOSITION0000113,ACC0027184,BRW0004237,2026-03-28 04:26:18,CALL0053707,AGT0000131,CALLBACK,legacy
DISPOSITION0000114,ACC0002020,BRW0005341,2026-03-24 12:08:08,CALL0073286,AGT0000669,WRONG_NUMBER,v1
DISPOSITION0000115,ACC0007091,BRW0010956,2026-03-25 13:26:05,CALL0033264,AGT0000037,PROMISE_TO_PAY,legacy
DISPOSITION0000116,ACC0025264,BRW0001908,2026-04-27 06:39:58,CALL0046672,AGT0000967,REFUSED,v1
DISPOSITION0000117,ACC0024782,BRW0003606,2026-07-04 09:30:15,CALL0062934,AGT0000643,PTP,v2
DISPOSITION0000118,ACC0029835,BRW0003828,2026-02-05 12:22:05,CALL0086045,AGT0000948,REFUSED,v1
DISPOSITION0000119,ACC0025853,BRW0011505,2026-06-03 10:05:23,CALL0006081,AGT0000152,WRONG_NUMBER,v1
DISPOSITION0000120,ACC0018231,BRW0002526,2026-07-07 09:29:45,CALL0074979,AGT0000200,PAID,v2
DISPOSITION0000121,ACC0011096,BRW0011667,2026-01-11 12:59:04,CALL0074118,AGT0000614,PTP_BROKEN,v2
DISPOSITION0000122,ACC0003676,BRW0008791,2026-03-26 18:36:08,CALL0009036,AGT0000028,REFUSED,legacy
DISPOSITION0000123,ACC0023822,BRW0000968,2026-06-04 17:00:57,CALL0079862,AGT0000634,PTP,v2
DISPOSITION0000124,ACC0021670,BRW0005838,2026-03-12 23:17:44,CALL0061524,AGT0000897,PTP_BROKEN,v2
DISPOSITION0000125,ACC0010362,BRW0008694,2026-01-02 09:07:10,CALL0059736,AGT0000758,PROMISE_TO_PAY,legacy
DISPOSITION0000126,ACC0026085,BRW0002249,2026-06-08 18:18:11,CALL0016983,AGT0000073,PTP,legacy
DISPOSITION0000127,ACC0027526,BRW0004754,2026-05-09 08:08:32,CALL0007268,AGT0000128,DISPUTE,v2
DISPOSITION0000128,ACC0013890,BRW0001806,2026-05-27 08:17:40,CALL0064556,AGT0000157,PROMISE_TO_PAY,legacy
DISPOSITION0000129,ACC0019145,BRW0000836,2026-03-18 10:03:10,CALL0014284,AGT0000916,WRONG_NUMBER,v2
DISPOSITION0000130,ACC0009191,BRW0007011,2026-08-03 17:23:18,CALL0058251,AGT0000992,PROMISE_TO_PAY,v1
DISPOSITION0000131,ACC0017393,BRW0000783,2026-08-08 17:43:40,CALL0064168,AGT0000532,REFUSED,v1
DISPOSITION0000132,ACC0027397,BRW0001551,2026-07-01 12:15:20,CALL0058290,AGT0000798,PAID,v2
DISPOSITION0000133,ACC0003827,BRW0000507,2026-05-21 11:03:08,CALL0021258,AGT0000092,CALLBACK,v1
DISPOSITION0000134,ACC0029830,BRW0005842,2026-04-27 21:19:33,CALL0038853,AGT0000191,REFUSED,legacy
DISPOSITION0000135,ACC0004922,BRW0009312,2026-03-24 17:10:21,CALL0060892,AGT0000222,CALLBACK,v2
DISPOSITION0000136,ACC0019714,BRW0001416,2026-04-05 22:03:30,CALL0054624,AGT0000483,PTP_BROKEN,v1
DISPOSITION0000137,ACC0016574,BRW0006274,2026-04-16 09:31:10,CALL0077923,AGT0000113,PTP,v1
DISPOSITION0000138,ACC0027731,BRW0003750,2026-06-04 16:23:48,CALL0055484,AGT0000616,PTP_BROKEN,legacy
DISPOSITION0000139,ACC0008547,BRW0007809,2026-08-02 10:15:53,CALL0071365,AGT0000489,DISPUTE,legacy
DISPOSITION0000140,ACC0012174,BRW0001088,2026-01-01 16:03:50,CALL0086760,AGT0000247,PAID,v2
DISPOSITION0000141,ACC0008647,BRW0006851,2026-07-31 10:11:46,CALL0072758,AGT0000052,DISPUTE,v2
DISPOSITION0000142,ACC0006461,BRW0000830,2026-04-15 10:36:41,CALL0085262,AGT0000692,PTP,v2
DISPOSITION0000143,ACC0019047,BRW0004555,2026-03-17 21:20:04,CALL0064206,AGT0000248,DISPUTE,v2
DISPOSITION0000144,ACC0027522,BRW0005204,2026-01-17 17:45:09,CALL0053670,AGT0000448,PTP_BROKEN,v2
DISPOSITION0000145,ACC0025428,BRW0000250,2026-05-28 09:32:48,CALL0076940,AGT0000487,PROMISE_TO_PAY,v1
DISPOSITION0000146,ACC0004207,BRW0001519,2026-02-14 02:38:44,CALL0034903,AGT0000213,REFUSED,v1
DISPOSITION0000147,ACC0010293,BRW0002864,2026-07-13 00:02:32,CALL0011572,AGT0000638,PTP,legacy
DISPOSITION0000148,ACC0006649,BRW0000300,2026-07-11 08:46:54,CALL0024373,AGT0000458,WRONG_NUMBER,v1
DISPOSITION0000149,ACC0015430,BRW0001333,2026-06-15 14:47:36,CALL0077812,AGT0000228,DISPUTE,legacy
DISPOSITION0000150,ACC0009969,BRW0008393,2026-01-23 12:52:47,CALL0037850,AGT0000985,NO_CONTACT,v1
DISPOSITION0000151,ACC0027244,BRW0009349,2026-04-21 12:42:04,CALL0060701,AGT0000910,REFUSED,v1
DISPOSITION0000152,ACC0010650,BRW0007934,2026-06-20 18:17:27,CALL0042269,AGT0000938,REFUSED,v2
DISPOSITION0000153,ACC0028390,BRW0000695,2026-08-06 04:19:43,CALL0032748,AGT0000895,PTP,v1
DISPOSITION0000154,ACC0007477,BRW0006595,2026-02-20 01:45:38,CALL0031150,AGT0000189,PTP_BROKEN,v1
DISPOSITION0000155,ACC0026649,BRW0003172,2026-03-20 19:32:55,CALL0063830,AGT0000877,PROMISE_TO_PAY,v2
DISPOSITION0000156,ACC0026773,BRW0008378,2026-01-09 09:34:50,CALL0074409,AGT0000165,DISPUTE,v1
DISPOSITION0000157,ACC0007297,BRW0004554,2026-05-21 13:22:47,CALL0023071,AGT0000243,DISPUTE,v2
DISPOSITION0000158,ACC0011777,BRW0004913,2026-03-23 06:24:59,CALL0061232,AGT0000885,NO_CONTACT,legacy
DISPOSITION0000159,ACC0006034,BRW0001647,2026-01-24 04:35:24,CALL0070905,AGT0000364,NO_CONTACT,legacy
DISPOSITION0000160,ACC0013871,BRW0009063,2026-03-29 01:18:35,CALL0084569,AGT0000795,CALLBACK,v1
DISPOSITION0000161,ACC0005863,BRW0010382,2026-01-21 07:19:09,CALL0032617,AGT0000743,PTP,v2
DISPOSITION0000162,ACC0018928,BRW0003312,2026-04-18 13:14:31,CALL0007270,AGT0000455,REFUSED,legacy
DISPOSITION0000163,ACC0001812,BRW0001483,2026-02-02 22:55:35,CALL0023410,AGT0000201,NO_CONTACT,v1
DISPOSITION0000164,ACC0008942,BRW0010780,2026-02-24 15:45:42,CALL0076429,AGT0000180,REFUSED,v1
DISPOSITION0000165,ACC0008764,BRW0002263,2026-07-07 20:21:14,CALL0082268,AGT0000607,PAID,v2
DISPOSITION0000166,ACC0020035,BRW0001729,2026-05-11 15:08:42,CALL0068666,AGT0000534,PROMISE_TO_PAY,v1
DISPOSITION0000167,ACC0005337,BRW0009638,2026-03-12 01:19:29,CALL0020964,AGT0000648,PROMISE_TO_PAY,v1
DISPOSITION0000168,ACC0011265,BRW0003412,2026-01-15 04:58:07,CALL0016134,AGT0000103,PTP,v2
DISPOSITION0000169,ACC0026832,BRW0001278,2026-04-09 16:14:52,CALL0058919,AGT0000283,PTP_BROKEN,v1
DISPOSITION0000170,ACC0016069,BRW0004066,2026-05-25 16:34:33,CALL0048093,AGT0000668,REFUSED,v1
DISPOSITION0000171,ACC0026018,BRW0010581,2026-05-18 17:57:40,CALL0033773,AGT0000729,NO_CONTACT,v1
DISPOSITION0000172,ACC0003988,BRW0003579,2026-03-01 09:11:10,CALL0000577,AGT0000305,PTP_BROKEN,v2
DISPOSITION0000173,ACC0017774,BRW0003217,2026-01-01 19:17:19,CALL0077436,AGT0000403,WRONG_NUMBER,legacy
DISPOSITION0000174,ACC0013060,BRW0011147,2026-06-13 16:46:21,CALL0063343,AGT0000239,WRONG_NUMBER,v2
DISPOSITION0000175,ACC0017398,BRW0005754,2026-07-26 06:26:41,CALL0000437,AGT0000547,REFUSED,v1
DISPOSITION0000176,ACC0026501,BRW0000333,2026-04-20 02:09:42,CALL0017369,AGT0000130,CALLBACK,legacy
DISPOSITION0000177,ACC0012417,BRW0008773,2026-07-30 14:11:46,CALL0014855,AGT0000711,PTP_BROKEN,v2
DISPOSITION0000178,ACC0018319,BRW0002580,2026-02-03 23:05:39,CALL0012399,AGT0000090,PAID,legacy
DISPOSITION0000179,ACC0028426,BRW0011891,2026-02-12 17:37:33,CALL0064089,AGT0000993,DISPUTE,legacy
DISPOSITION0000180,ACC0026932,BRW0002617,2026-02-14 06:29:34,CALL0019202,AGT0000032,PAID,v2
DISPOSITION0000181,ACC0013576,BRW0007067,2026-03-27 18:25:23,CALL0058671,AGT0000560,PTP_BROKEN,v2
DISPOSITION0000182,ACC0027387,BRW0007874,2026-02-05 21:42:27,CALL0005567,AGT0000662,WRONG_NUMBER,v1
DISPOSITION0000183,ACC0003080,BRW0011032,2026-07-22 15:05:19,CALL0074888,AGT0000853,PROMISE_TO_PAY,v1
DISPOSITION0000184,ACC0009058,BRW0004652,2026-04-08 01:34:16,CALL0020837,AGT0000895,REFUSED,legacy
DISPOSITION0000185,ACC0018275,BRW0007033,2026-02-22 04:44:02,CALL0040041,AGT0000225,DISPUTE,v1
DISPOSITION0000186,ACC0003961,BRW0000981,2026-07-27 00:07:43,CALL0088166,AGT0000694,PTP,v1
DISPOSITION0000187,ACC0023439,BRW0006922,2026-01-06 08:53:49,CALL0003420,AGT0000031,PAID,v2
DISPOSITION0000188,ACC0009064,BRW0000127,2026-06-18 02:50:12,CALL0029935,AGT0000345,PROMISE_TO_PAY,legacy
DISPOSITION0000189,ACC0021572,BRW0007736,2026-07-07 08:34:33,CALL0021867,AGT0000364,PTP_BROKEN,legacy
DISPOSITION0000190,ACC0029883,BRW0011700,2026-06-14 17:34:43,CALL0070629,AGT0000235,PROMISE_TO_PAY,legacy
DISPOSITION0000191,ACC0007805,BRW0011440,2026-03-02 00:35:33,CALL0045308,AGT0000448,WRONG_NUMBER,legacy
DISPOSITION0000192,ACC0003129,BRW0007872,2026-01-06 05:52:45,CALL0039804,AGT0000683,REFUSED,v1
DISPOSITION0000193,ACC0006384,BRW0011556,2026-05-04 19:45:59,CALL0042318,AGT0000245,PTP,v1
DISPOSITION0000194,ACC0008035,BRW0011655,2026-06-23 11:16:10,CALL0074195,AGT0000325,PTP_BROKEN,v1
DISPOSITION0000195,ACC0024690,BRW0005570,2026-02-11 02:30:43,CALL0050252,AGT0000081,PROMISE_TO_PAY,v1
DISPOSITION0000196,ACC0023972,BRW0006767,2026-06-21 20:54:38,CALL0068185,AGT0000394,DISPUTE,legacy
DISPOSITION0000197,ACC0006868,BRW0004733,2026-06-15 16:22:28,CALL0039259,AGT0000500,PTP_BROKEN,v1
DISPOSITION0000198,ACC0029862,BRW0008154,2026-03-17 23:17:47,CALL0007836,AGT0000320,WRONG_NUMBER,v2
DISPOSITION0000199,ACC0018973,BRW0003114,2026-03-16 09:55:26,CALL0075022,AGT0000255,DISPUTE,v1
DISPOSITION0000200,ACC0000488,BRW0007721,2026-07-21 15:30:10,CALL0031086,AGT0000886,PTP,v1
DISPOSITION0000201,ACC0022781,BRW0008117,2026-05-23 16:04:29,CALL0049000,AGT0000450,PROMISE_TO_PAY,legacy
DISPOSITION0000202,ACC0020668,BRW0004114,2026-07-21 00:42:19,CALL0000870,AGT0000487,PROMISE_TO_PAY,v1
DISPOSITION0000203,ACC0004479,BRW0002472,2026-06-11 10:53:53,CALL0006727,AGT0000644,PTP,legacy
DISPOSITION0000204,ACC0005056,BRW0011651,2026-02-16 21:47:20,CALL0002592,AGT0000704,PTP_BROKEN,v1
DISPOSITION0000205,ACC0003777,BRW0004881,2026-01-19 06:15:36,CALL0077459,AGT0000860,PROMISE_TO_PAY,legacy
DISPOSITION0000206,ACC0002957,BRW0005714,2026-05-22 11:16:23,CALL0047060,AGT0000546,PTP_BROKEN,v1
DISPOSITION0000207,ACC0017062,BRW0011317,2026-05-02 12:48:46,CALL0035143,AGT0000298,PAID,legacy
DISPOSITION0000208,ACC0026826,BRW0010520,2026-03-31 15:33:25,CALL0028758,AGT0000417,REFUSED,v2
DISPOSITION0000209,ACC0006179,BRW0000065,2026-06-06 12:48:43,CALL0007160,AGT0000632,PTP_BROKEN,v2
DISPOSITION0000210,ACC0009865,BRW0002784,2026-02-22 12:27:19,CALL0051017,AGT0000253,REFUSED,legacy
DISPOSITION0000211,ACC0006202,BRW0001467,2026-06-01 21:42:48,CALL0037882,AGT0000924,CALLBACK,v1
DISPOSITION0000212,ACC0021253,BRW0009925,2026-04-19 22:38:27,CALL0067329,AGT0000759,REFUSED,v2
DISPOSITION0000213,ACC0015182,BRW0001473,2026-05-05 20:42:36,CALL0074813,AGT0000593,PROMISE_TO_PAY,v2
DISPOSITION0000214,ACC0001139,BRW0009402,2026-04-22 11:47:01,CALL0051719,AGT0000527,NO_CONTACT,v1
DISPOSITION0000215,ACC0025464,BRW0008474,2026-06-14 13:34:23,CALL0001665,AGT0000071,DISPUTE,v2
DISPOSITION0000216,ACC0003802,BRW0005295,2026-04-13 04:59:00,CALL0037417,AGT0000580,CALLBACK,v1
DISPOSITION0000217,ACC0014145,BRW0010084,2026-06-21 19:17:40,CALL0011536,AGT0000788,PTP_BROKEN,legacy
DISPOSITION0000218,ACC0002422,BRW0004172,2026-03-14 16:16:40,CALL0088916,AGT0000283,CALLBACK,legacy
DISPOSITION0000219,ACC0018729,BRW0009136,2026-05-20 09:19:07,CALL0087166,AGT0000109,PAID,legacy
