campaign_id,campaign_name,channel,strategy_version,start_at,target_definition,end_at
CMP0000038,NPA_RECOVERY,FIELD,v2,2026-05-29 20:31:27,HIGH_RISK,2026-06-25 20:31:27
CMP0000039,DIGITAL_FOLLOWUP,SMS,v3,2026-01-10 21:08:43,PROMISE_BROKEN,2026-02-12 21:08:43
CMP0000040,DIGITAL_FOLLOWUP,FIELD,v1,2026-05-03 20:51:07,NPA,2026-05-23 20:51:07
CMP0000041,30DPD_W1,SMS,legacy,2026-02-21 12:17:17,PROMISE_BROKEN,2026-03-17 12:17:17
CMP0000042,BOUNCE,FIELD,v3,2026-03-02 00:10:05,PROMISE_BROKEN,2026-03-22 00:10:05
CMP0000043,NPA_RECOVERY,WHATSAPP,legacy,2026-01-07 22:31:46,HIGH_RISK,2026-01-21 22:31:46
CMP0000044,NPA_RECOVERY,SMS,v1,2026-03-23 18:14:45,NPA,2026-05-06 18:14:45
CMP0000045,30DPD_W1,VOICE,v2,2026-03-11 05:48:58,DPD>=60,2026-04-20 05:48:58
CMP0000046,BOUNCE,WHATSAPP,v3,2026-04-15 13:40:26,PROMISE_BROKEN,2026-06-23 13:40:26
CMP0000047,BOUNCE,WHATSAPP,v2,2026-02-25 09:15:45,DPD>=60,2026-05-16 09:15:45
CMP0000048,NPA_RECOVERY,WHATSAPP,v2,2026-01-13 07:51:48,DPD>=30,2026-02-16 07:51:48
CMP0000049,60DPD_INTENT,VOICE,v1,2026-05-05 10:04:54,HIGH_RISK,2026-07-19 10:04:54
CMP0000050,NPA_RECOVERY,SMS,v1,2026-04-25 22:41:49,HIGH_RISK,2026-07-16 22:41:49
CMP0000051,DIGITAL_FOLLOWUP,WHATSAPP,v1,2026-01-02 11:35:04,DPD>=60,2026-01-23 11:35:04
CMP0000052,BOUNCE,SMS,v2,2026-05-08 03:08:50,HIGH_RISK,2026-07-06 03:08:50
CMP0000053,DIGITAL_FOLLOWUP,VOICE,v1,2026-02-04 22:16:31,HIGH_RISK,2026-02-20 22:16:31
CMP0000054,BOUNCE,SMS,v3,2026-03-05 00:26:04,DPD>=60,2026-04-02 00:26:04
CMP0000055,BOUNCE,MIXED,v3,2026-03-03 13:30:20,DPD>=60,2026-03-13 13:30:20
CMP0000056,60DPD_INTENT,WHATSAPP,v1,2026-05-25 06:47:13,NPA,2026-07-06 06:47:13
CMP0000057,30DPD_W1,MIXED,v3,2026-04-29 15:21:02,NPA,2026-07-13 15:21:02
CMP0000058,BOUNCE,VOICE,legacy,2026-05-13 19:45:30,NPA,2026-05-27 19:45:30
CMP0000059,30DPD_W1,MIXED,legacy,2026-01-27 01:14:56,HIGH_RISK,2026-03-21 01:14:56
CMP0000060,30DPD_W1,SMS,v3,2026-02-04 15:29:51,DPD>=30,2026-03-02 15:29:51
CMP0000061,30DPD_W1,WHATSAPP,v3,2026-04-14 08:22:26,DPD>=60,2026-04-28 08:22:26
CMP0000062,NPA_RECOVERY,SMS,legacy,2026-04-26 07:08:27,DPD>=60,2026-06-17 07:08:27
CMP0000063,BOUNCE,WHATSAPP,v1,2026-03-20 08:06:07,HIGH_RISK,2026-04-08 08:06:07
CMP0000064,60DPD_INTENT,FIELD,v2,2026-02-05 08:13:24,DPD>=30,2026-04-07 08:13:24
CMP0000065,30DPD_W1,WHATSAPP,v3,2026-04-15 00:12:07,DPD>=30,2026-05-08 00:12:07
CMP0000066,60DPD_INTENT,WHATSAPP,v2,2026-03-17 23:43:03,HIGH_RISK,2026-05-27 23:43:03
CMP0000067,30DPD_W1,MIXED,v2,2026-03-28 15:50:36,DPD>=60,2026-05-10 15:50:36
CMP0000068,NPA_RECOVERY,VOICE,v1,2026-05-22 16:53:20,NPA,2026-07-09 16:53:20
CMP0000069,BOUNCE,SMS,v3,2026-01-27 11:23:30,HIGH_RISK,2026-02-20 11:23:30
CMP0000070,60DPD_INTENT,WHATSAPP,v1,2026-01-01 09:34:51,DPD>=60,2026-02-26 09:34:51
CMP0000071,30DPD_W1,MIXED,v3,2026-05-20 01:55:18,DPD>=60,2026-05-27 01:55:18
CMP0000072,30DPD_W1,WHATSAPP,v2,2026-04-07 15:47:41,DPD>=60,2026-05-31 15:47:41
CMP0000073,60DPD_INTENT,SMS,v2,2026-02-28 03:36:18,PROMISE_BROKEN,2026-05-01 03:36:18
CMP0000074,BOUNCE,MIXED,legacy,2026-01-13 08:31:25,DPD>=30,2026-03-20 08:31:25
CMP0000075,30DPD_W1,WHATSAPP,v3,2026-04-09 08:03:12,DPD>=30,2026-05-19 08:03:12
CMP0000076,DIGITAL_FOLLOWUP,VOICE,v3,2026-01-30 08:50:48,NPA,2026-03-01 08:50:48
CMP0000077,BOUNCE,FIELD,v1,2026-01-14 07:27:53,DPD>=60,2026-01-30 07:27:53
CMP0000078,60DPD_INTENT,SMS,v2,2026-02-01 10:00:16,HIGH_RISK,2026-02-15 10:00:16
CMP0000079,NPA_RECOVERY,MIXED,legacy,2026-04-02 00:02:58,HIGH_RISK,2026-05-16 00:02:58
CMP0000080,NPA_RECOVERY,WHATSAPP,legacy,2026-03-03 17:19:15,DPD>=60,2026-05-13 17:19:15
CMP0000081,DIGITAL_FOLLOWUP,WHATSAPP,legacy,2026-04-08 02:43:40,DPD>=60,2026-06-09 02:43:40
CMP0000082,DIGITAL_FOLLOWUP,MIXED,v2,2026-03-22 19:38:40,HIGH_RISK,2026-05-27 19:38:40
CMP0000083,BOUNCE,WHATSAPP,v2,2026-05-08 17:33:24,PROMISE_BROKEN,2026-06-07 17:33:24
CMP0000084,BOUNCE,FIELD,legacy,2026-01-22 22:40:49,PROMISE_BROKEN,2026-02-26 22:40:49
CMP0000085,60DPD_INTENT,MIXED,legacy,2026-04-21 22:27:22,HIGH_RISK,2026-05-02 22:27:22
CMP0000086,DIGITAL_FOLLOWUP,SMS,v3,2026-03-21 16:05:57,PROMISE_BROKEN,2026-05-25 16:05:57
CMP0000087,60DPD_INTENT,SMS,legacy,2026-03-13 01:08:02,PROMISE_BROKEN,2026-03-30 01:08:02
CMP0000088,30DPD_W1,MIXED,v1,2026-02-15 08:21:24,PROMISE_BROKEN,2026-03-05 08:21:24
CMP0000089,DIGITAL_FOLLOWUP,WHATSAPP,legacy,2026-04-16 00:37:46,DPD>=60,2026-04-29 00:37:46
CMP0000090,30DPD_W1,FIELD,v2,2026-02-22 22:34:41,PROMISE_BROKEN,2026-05-08 22:34:41
CMP0000091,DIGITAL_FOLLOWUP,VOICE,v3,2026-02-01 07:10:37,DPD>=30,2026-04-29 07:10:37
CMP0000092,NPA_RECOVERY,SMS,v3,2026-04-15 09:20:45,DPD>=60,2026-06-23 09:20:45
CMP0000093,60DPD_INTENT,SMS,legacy,2026-04-28 07:59:35,HIGH_RISK,2026-05-05 07:59:35
CMP0000094,60DPD_INTENT,WHATSAPP,v3,2026-04-16 05:34:54,DPD>=30,2026-05-26 05:34:54
CMP0000095,DIGITAL_FOLLOWUP,VOICE,legacy,2026-05-06 00:27:03,NPA,2026-05-12 00:27:03
CMP0000096,DIGITAL_FOLLOWUP,WHATSAPP,legacy,2026-03-24 06:37:49,DPD>=60,2026-04-21 06:37:49
CMP0000097,NPA_RECOVERY,MIXED,v2,2026-05-19 08:56:41,NPA,2026-06-01 08:56:41
CMP0000098,DIGITAL_FOLLOWUP,WHATSAPP,legacy,2026-01-09 09:55:35,PROMISE_BROKEN,2026-03-16 09:55:35
CMP0000099,BOUNCE,WHATSAPP,legacy,2026-03-02 17:01:23,PROMISE_BROKEN,2026-03-24 17:01:23
CMP0000100,BOUNCE,WHATSAPP,v3,2026-03-17 20:23:22,DPD>=30,2026-05-08 20:23:22
CMP0000101,BOUNCE,MIXED,v3,2026-04-26 07:04:43,DPD>=30,2026-07-11 07:04:43
CMP0000102,NPA_RECOVERY,VOICE,legacy,2026-01-22 07:08:48,HIGH_RISK,2026-02-02 07:08:48
CMP0000103,NPA_RECOVERY,WHATSAPP,legacy,2026-04-28 08:14:52,PROMISE_BROKEN,2026-07-26 08:14:52
CMP0000104,30DPD_W1,FIELD,legacy,2026-05-17 00:24:18,PROMISE_BROKEN,2026-07-30 00:24:18
CMP0000105,BOUNCE,FIELD,v2,2026-05-26 22:40:48,DPD>=30,2026-07-11 22:40:48
CMP0000106,NPA_RECOVERY,SMS,v3,2026-03-22 01:15:07,PROMISE_BROKEN,2026-04-05 01:15:07
CMP0000107,DIGITAL_FOLLOWUP,SMS,legacy,2026-01-05 12:12:50,NPA,2026-01-16 12:12:50
CMP0000108,NPA_RECOVERY,VOICE,v3,2026-04-25 09:07:24,HIGH_RISK,2026-07-22 09:07:24
CMP0000109,NPA_RECOVERY,MIXED,v1,2026-04-10 13:23:53,DPD>=60,2026-07-05 13:23:53
CMP0000110,DIGITAL_FOLLOWUP,VOICE,v2,2026-03-27 07:28:13,DPD>=30,2026-05-01 07:28:13
CMP0000111,30DPD_W1,FIELD,v1,2026-04-05 05:48:41,PROMISE_BROKEN,2026-06-23 05:48:41
CMP0000112,60DPD_INTENT,MIXED,v3,2026-01-07 16:43:03,DPD>=30,2026-02-01 16:43:03
CMP0000113,30DPD_W1,WHATSAPP,legacy,2026-05-14 21:42:31,DPD>=60,2026-06-14 21:42:31
CMP0000114,60DPD_INTENT,SMS,legacy,2026-01-24 03:20:49,PROMISE_BROKEN,2026-02-21 03:20:49
CMP0000115,BOUNCE,FIELD,v2,2026-05-20 02:04:12,DPD>=30,2026-07-13 02:04:12
CMP0000116,DIGITAL_FOLLOWUP,VOICE,v1,2026-05-09 23:11:42,HIGH_RISK,2026-06-03 23:11:42
CMP0000117,BOUNCE,VOICE,v3,2026-02-25 19:12:52,HIGH_RISK,2026-04-09 19:12:52
CMP0000118,30DPD_W1,FIELD,v3,2026-03-07 10:51:06,DPD>=60,2026-05-11 10:51:06
CMP0000119,30DPD_W1,SMS,v2,2026-03-03 09:44:21,HIGH_RISK,2026-04-19 09:44:21
CMP0000120,NPA_RECOVERY,SMS,v3,2026-03-30 14:30:16,DPD>=60,2026-05-03 14:30:16
