sms_event_id,account_id,borrower_id,event_at,message_id,event_type,template_code,provider_id
SMS_EVENT0000076,ACC0010997,BRW0008602,2026-06-17 00:25:23,SMS000026771,DELIVERED,NOTICE,VND0000009
SMS_EVENT0000077,ACC0014914,BRW0002991,2026-02-13 12:35:37,SMS000011371,CLICKED,DUE_REMINDER,VND0000001
SMS_EVENT0000078,ACC0016366,BRW0002235,2026-03-14 13:16:58,SMS000003039,FAILED,PTP_REMINDER,VND0000003
SMS_EVENT0000079,ACC0017087,BRW0005610,2026-05-20 18:58:31,SMS000001752,DELIVERED,NOTICE,VND0000011
SMS_EVENT0000080,ACC0003102,BRW0000058,2026-05-30 21:16:05,SMS000020631,DELIVERED,NOTICE,VND0000004
SMS_EVENT0000081,ACC0010886,BRW0004167,2026-01-04 17:24:19,SMS000034045,DELIVERED,PAYMENT_LINK,VND0000013
SMS_EVENT0000082,ACC0012537,BRW0004061,2026-03-06 09:12:00,SMS000006985,DELIVERED,DUE_REMINDER,VND0000012
SMS_EVENT0000083,ACC0000919,BRW0003409,2026-04-23 10:15:28,SMS000026511,SENT,NOTICE,VND0000012
SMS_EVENT0000084,ACC0028105,BRW0003648,2026-07-23 02:48:24,SMS000007783,SENT,NOTICE,VND0000001
SMS_EVENT0000085,ACC0026140,BRW0001102,2026-03-16 09:20:35,SMS000024339,FAILED,PTP_REMINDER,VND0000011
SMS_EVENT0000086,ACC0007073,BRW0000765,2026-02-26 18:52:51,SMS000026556,DELIVERED,PAYMENT_LINK,VND0000001
SMS_EVENT0000087,ACC0015641,BRW0009586,2026-04-09 21:12:47,SMS000020564,SENT,PAYMENT_LINK,VND0000012
SMS_EVENT0000088,ACC0028742,BRW0001257,2026-03-09 15:05:12,SMS000026453,CLICKED,PTP_REMINDER,VND0000014
SMS_EVENT0000089,ACC0021717,BRW0004630,2026-04-12 22:09:44,SMS000033023,FAILED,DUE_REMINDER,VND0000014
SMS_EVENT0000090,ACC0020719,BRW0007763,2026-08-02 18:48:13,SMS000033289,FAILED,PAYMENT_LINK,VND0000009
SMS_EVENT0000091,ACC0005546,BRW0003211,2026-07-29 13:37:44,SMS000025298,FAILED,PAYMENT_LINK,VND0000007
SMS_EVENT0000092,ACC0018473,BRW0009924,2026-02-24 10:53:35,SMS000002287,SENT,PAYMENT_LINK,VND0000004
SMS_EVENT0000093,ACC0021148,BRW0004208,2026-05-16 13:24:18,SMS000008793,DELIVERED,PAYMENT_LINK,VND0000001
SMS_EVENT0000094,ACC0019189,BRW0004821,2026-05-20 10:47:41,SMS000031068,SENT,PTP_REMINDER,VND0000008
SMS_EVENT0000095,ACC0027031,BRW0002446,2026-06-15 15:13:04,SMS000024233,CLICKED,DUE_REMINDER,VND0000006
SMS_EVENT0000096,ACC0017007,BRW0003603,2026-02-22 19:54:35,SMS000039146,FAILED,DUE_REMINDER,VND0000004
SMS_EVENT0000097,ACC0016375,BRW0000700,2026-01-31 15:28:59,SMS000006864,FAILED,PTP_REMINDER,VND0000002
SMS_EVENT0000098,ACC0022378,BRW0008467,2026-03-09 09:03:49,SMS000002425,SENT,PAYMENT_LINK,VND0000008
SMS_EVENT0000099,ACC0007216,BRW0010058,2026-02-12 13:21:35,SMS000035806,CLICKED,PAYMENT_LINK,VND0000009
SMS_EVENT0000100,ACC0013122,BRW0002335,2026-03-25 14:44:24,SMS000032877,FAILED,PTP_REMINDER,VND0000002
SMS_EVENT0000101,ACC0013891,BRW0011303,2026-07-11 04:14:58,SMS000012861,FAILED,PTP_REMINDER,VND0000010
SMS_EVENT0000102,ACC0010781,BRW0009345,2026-06-04 13:52:57,SMS000022190,CLICKED,NOTICE,VND0000004
SMS_EVENT0000103,ACC0028801,BRW0000065,2026-07-23 18:41:36,SMS000026235,DELIVERED,DUE_REMINDER,VND0000008
SMS_EVENT0000104,ACC0010582,BRW0006070,2026-01-06 21:52:47,SMS000036250,CLICKED,NOTICE,VND0000003
SMS_EVENT0000105,ACC0014281,BRW0007300,2026-05-18 01:23:50,SMS000001782,CLICKED,PTP_REMINDER,VND0000007
SMS_EVENT0000106,ACC0014246,BRW0007949,2026-08-07 12:46:25,SMS000010711,FAILED,NOTICE,VND0000002
SMS_EVENT0000107,ACC0007016,BRW0004833,2026-04-16 08:15:15,SMS000027729,CLICKED,NOTICE,VND0000009
SMS_EVENT0000108,ACC0021551,BRW0005246,2026-05-09 15:22:06,SMS000010540,SENT,NOTICE,VND0000014
SMS_EVENT0000109,ACC0009477,BRW0010281,2026-03-01 22:42:27,SMS000017843,FAILED,DUE_REMINDER,VND0000004
SMS_EVENT0000110,ACC0006239,BRW0006842,2026-05-08 00:21:47,SMS000024938,CLICKED,PTP_REMINDER,VND0000011
SMS_EVENT0000111,ACC0018636,BRW0004269,2026-01-21 12:20:04,SMS000005669,FAILED,PTP_REMINDER,VND0000009
SMS_EVENT0000112,ACC0014209,BRW0004959,2026-07-17 08:47:23,SMS000016445,SENT,NOTICE,VND0000004
SMS_EVENT0000113,ACC0005287,BRW0007893,2026-05-28 20:27:58,SMS000022130,DELIVERED,DUE_REMINDER,VND0000008
SMS_EVENT0000114,ACC0029979,BRW0011522,2026-06-13 13:14:50,SMS000007094,FAILED,NOTICE,VND0000002
SMS_EVENT0000115,ACC0011252,BRW0005595,2026-01-09 06:21:47,SMS000019063,DELIVERED,PAYMENT_LINK,VND0000006
SMS_EVENT0000116,ACC0021715,BRW0011993,2026-02-21 03:31:05,SMS000033091,FAILED,NOTICE,VND0000001
SMS_EVENT0000117,ACC0003349,BRW0008121,2026-02-05 07:27:37,SMS000028990,DELIVERED,PTP_REMINDER,VND0000004
SMS_EVENT0000118,ACC0013147,BRW0006173,2026-02-20 01:35:42,SMS000019150,CLICKED,NOTICE,VND0000006
SMS_EVENT0000119,ACC0020959,BRW0009794,2026-04-17 19:47:51,SMS000028163,FAILED,PAYMENT_LINK,VND0000012
SMS_EVENT0000120,ACC0002471,BRW0000299,2026-05-05 10:22:46,SMS000022205,CLICKED,PAYMENT_LINK,VND0000002
SMS_EVENT0000121,ACC0002424,BRW0003478,2026-07-23 10:16:55,SMS000015974,FAILED,DUE_REMINDER,VND0000009
SMS_EVENT0000122,ACC0021210,BRW0005822,2026-07-03 22:40:39,SMS000003292,DELIVERED,NOTICE,VND0000002
SMS_EVENT0000123,ACC0021472,BRW0005324,2026-01-17 09:06:46,SMS000020277,SENT,NOTICE,VND0000004
SMS_EVENT0000124,ACC0021840,BRW0008258,2026-03-21 21:09:43,SMS000005291,CLICKED,PAYMENT_LINK,VND0000012
SMS_EVENT0000125,ACC0023372,BRW0001677,2026-06-21 04:08:17,SMS000013039,SENT,PAYMENT_LINK,VND0000007
SMS_EVENT0000126,ACC0010644,BRW0001609,2026-05-10 23:35:03,SMS000011618,CLICKED,NOTICE,VND0000004
SMS_EVENT0000127,ACC0008820,BRW0000013,2026-05-24 11:39:50,SMS000037560,DELIVERED,PTP_REMINDER,VND0000013
SMS_EVENT0000128,ACC0003457,BRW0007432,2026-03-20 12:19:50,SMS000007690,SENT,NOTICE,VND0000010
SMS_EVENT0000129,ACC0027245,BRW0006934,2026-07-16 15:58:45,SMS000037329,CLICKED,PAYMENT_LINK,VND0000003
SMS_EVENT0000130,ACC0001262,BRW0001879,2026-01-08 11:50:26,SMS000022410,CLICKED,DUE_REMINDER,VND0000011
SMS_EVENT0000131,ACC0015939,BRW0000466,2026-06-03 22:39:16,SMS000013762,CLICKED,NOTICE,VND0000011
SMS_EVENT0000132,ACC0010192,BRW0001815,2026-06-26 01:16:21,SMS000038346,DELIVERED,PAYMENT_LINK,VND0000003
SMS_EVENT0000133,ACC0003909,BRW0001397,2026-05-06 06:38:41,SMS000030369,FAILED,NOTICE,VND0000009
SMS_EVENT0000134,ACC0009072,BRW0005769,2026-05-08 04:50:42,SMS000025585,DELIVERED,PAYMENT_LINK,VND0000001
SMS_EVENT0000135,ACC0020727,BRW0001659,2026-01-23 23:10:21,SMS000010717,CLICKED,PAYMENT_LINK,VND0000008
SMS_EVENT0000136,ACC0023751,BRW0009925,2026-02-04 23:04:53,SMS000029979,DELIVERED,PTP_REMINDER,VND0000003
SMS_EVENT0000137,ACC0024432,BRW0001654,2026-01-26 09:01:01,SMS000012090,DELIVERED,NOTICE,VND0000005
SMS_EVENT0000138,ACC0009088,BRW0002121,2026-05-26 22:50:47,SMS000004387,CLICKED,DUE_REMINDER,VND0000014
SMS_EVENT0000139,ACC0016663,BRW0007611,2026-04-06 20:56:59,SMS000009102,DELIVERED,PTP_REMINDER,VND0000008
SMS_EVENT0000140,ACC0028234,BRW0009020,2026-01-29 18:24:50,SMS000016557,CLICKED,PTP_REMINDER,VND0000007
SMS_EVENT0000141,ACC0027817,BRW0000533,2026-06-01 15:02:02,SMS000013992,SENT,DUE_REMINDER,VND0000011
SMS_EVENT0000142,ACC0025107,BRW0000967,2026-07-02 08:23:17,SMS000020256,DELIVERED,NOTICE,VND0000002
SMS_EVENT0000143,ACC0027706,BRW0006071,2026-05-15 23:59:50,SMS000007215,SENT,DUE_REMINDER,VND0000007
SMS_EVENT0000144,ACC0026069,BRW0000886,2026-04-13 02:20:40,SMS000013884,DELIVERED,NOTICE,VND0000001
SMS_EVENT0000145,ACC0012000,BRW0006253,2026-04-23 14:39:10,SMS000015684,SENT,NOTICE,VND0000004
SMS_EVENT0000146,ACC0027773,BRW0008326,2026-05-18 20:21:18,SMS000010341,FAILED,NOTICE,VND0000014
SMS_EVENT0000147,ACC0003439,BRW0006261,2026-03-29 04:33:41,SMS000025867,CLICKED,PTP_REMINDER,VND0000009
SMS_EVENT0000148,ACC0012868,BRW0000362,2026-06-17 22:08:09,SMS000031032,CLICKED,PAYMENT_LINK,VND0000002
SMS_EVENT0000149,ACC0019706,BRW0006604,2026-02-09 02:18:41,SMS000001638,SENT,PAYMENT_LINK,VND0000014
SMS_EVENT0000150,ACC0006431,BRW0003382,2026-07-29 16:05:58,SMS000008038,CLICKED,PTP_REMINDER,VND0000012
SMS_EVENT0000151,ACC0022758,BRW0010231,2026-07-15 08:00:41,SMS000006137,SENT,PTP_REMINDER,VND0000014
SMS_EVENT0000152,ACC0012031,BRW0006852,2026-01-27 12:03:19,SMS000033406,DELIVERED,PTP_REMINDER,VND0000008
SMS_EVENT0000153,ACC0010990,BRW0006617,2026-03-27 05:41:34,SMS000011172,CLICKED,NOTICE,VND0000013
SMS_EVENT0000154,ACC0008086,BRW0002202,2026-07-02 21:19:28,SMS000003450,FAILED,NOTICE,VND0000006
SMS_EVENT0000155,ACC0014265,BRW0001169,2026-05-15 12:32:17,SMS000025735,SENT,PAYMENT_LINK,VND0000012
SMS_EVENT0000156,ACC0016578,BRW0005930,2026-02-10 00:56:06,SMS000005714,SENT,PAYMENT_LINK,VND0000014
SMS_EVENT0000157,ACC0013029,BRW0009360,2026-07-29 16:36:59,SMS000012132,SENT,DUE_REMINDER,VND0000011
SMS_EVENT0000158,ACC0004220,BRW0005740,2026-01-28 21:43:20,SMS000005409,DELIVERED,PTP_REMINDER,VND0000009
SMS_EVENT0000159,ACC0015967,BRW0000035,2026-02-26 08:49:41,SMS000036214,FAILED,PTP_REMINDER,VND0000001
SMS_EVENT0000160,ACC0024166,BRW0005800,2026-01-04 06:28:40,SMS000021770,DELIVERED,NOTICE,VND0000013
SMS_EVENT0000161,ACC0001111,BRW0007288,2026-01-02 05:43:54,SMS000029262,FAILED,NOTICE,VND0000014
SMS_EVENT0000162,ACC0006615,BRW0006441,2026-04-20 14:17:08,SMS000037674,FAILED,DUE_REMINDER,VND0000008
SMS_EVENT0000163,ACC0017396,BRW0001177,2026-06-10 23:53:42,SMS000004965,FAILED,PTP_REMINDER,VND0000006
SMS_EVENT0000164,ACC0011135,BRW0007661,2026-04-04 08:35:53,SMS000008753,SENT,NOTICE,VND0000005
SMS_EVENT0000165,ACC0003778,BRW0000600,2026-06-25 11:47:01,SMS000028188,DELIVERED,PTP_REMINDER,VND0000003
SMS_EVENT0000166,ACC0027573,BRW0010001,2026-02-17 14:57:36,SMS000011250,DELIVERED,PTP_REMINDER,VND0000001
SMS_EVENT0000167,ACC0027921,BRW0002644,2026-02-18 17:15:06,SMS000013465,FAILED,NOTICE,VND0000006
SMS_EVENT0000168,ACC0010598,BRW0005182,2026-04-16 13:15:14,SMS000030017,FAILED,PAYMENT_LINK,VND0000015
SMS_EVENT0000169,ACC0001913,BRW0009522,2026-05-07 05:52:56,SMS000000208,CLICKED,PAYMENT_LINK,VND0000010
SMS_EVENT0000170,ACC0000308,BRW0007770,2026-02-08 10:45:02,SMS000022510,SENT,PTP_REMINDER,VND0000007
SMS_EVENT0000171,ACC0025318,BRW0011235,2026-06-25 18:01:33,SMS000024149,DELIVERED,NOTICE,VND0000001
SMS_EVENT0000172,ACC0006806,BRW0011742,2026-02-25 10:09:47,SMS000011108,SENT,NOTICE,VND0000005
SMS_EVENT0000173,ACC0028174,BRW0008756,2026-03-13 12:02:25,SMS000000426,SENT,PTP_REMINDER,VND0000010
SMS_EVENT0000174,ACC0006181,BRW0004391,2026-07-14 07:40:20,SMS000000751,SENT,PTP_REMINDER,VND0000011
SMS_EVENT0000175,ACC0010767,BRW0010368,2026-03-22 22:03:22,SMS000023163,DELIVERED,NOTICE,VND0000010
SMS_EVENT0000176,ACC0021374,BRW0006206,2026-07-23 09:53:39,SMS000019062,DELIVERED,PTP_REMINDER,VND0000009
SMS_EVENT0000177,ACC0013065,BRW0001658,2026-03-03 21:57:20,SMS000003398,SENT,DUE_REMINDER,VND0000015
SMS_EVENT0000178,ACC0019336,BRW0008573,2026-05-31 15:05:04,SMS000036240,CLICKED,PAYMENT_LINK,VND0000012
SMS_EVENT0000179,ACC0002296,BRW0003284,2026-01-13 02:00:48,SMS000033257,SENT,NOTICE,VND0000013
SMS_EVENT0000180,ACC0027412,BRW0003850,2026-04-03 21:14:57,SMS000038570,FAILED,NOTICE,VND0000014
SMS_EVENT0000181,ACC0024860,BRW0010516,2026-03-30 16:27:16,SMS000023050,DELIVERED,DUE_REMINDER,VND0000003
SMS_EVENT0000182,ACC0020940,BRW0006255,2026-03-03 00:17:33,SMS000035767,SENT,DUE_REMINDER,VND0000002
SMS_EVENT0000183,ACC0019278,BRW0007546,2026-01-24 06:06:58,SMS000030447,SENT,PAYMENT_LINK,VND0000006
SMS_EVENT0000184,ACC0023844,BRW0011699,2026-04-06 18:28:34,SMS000033759,SENT,DUE_REMINDER,VND0000001
SMS_EVENT0000185,ACC0019160,BRW0008833,2026-02-17 23:39:50,SMS000003561,SENT,DUE_REMINDER,VND0000001
SMS_EVENT0000186,ACC0006438,BRW0005139,2026-02-25 16:46:39,SMS000032755,SENT,PTP_REMINDER,VND0000009
SMS_EVENT0000187,ACC0009423,BRW0005438,2026-04-30 22:03:49,SMS000032721,FAILED,PAYMENT_LINK,VND0000014
SMS_EVENT0000188,ACC0001480,BRW0004514,2026-05-01 01:17:21,SMS000013569,FAILED,NOTICE,VND0000012
SMS_EVENT0000189,ACC0016846,BRW0001642,2026-02-18 01:49:46,SMS000001330,DELIVERED,NOTICE,VND0000007
SMS_EVENT0000190,ACC0002245,BRW0011677,2026-04-20 18:14:19,SMS000018402,DELIVERED,PTP_REMINDER,VND0000002
SMS_EVENT0000191,ACC0029322,BRW0008518,2026-03-15 18:31:23,SMS000034280,CLICKED,PTP_REMINDER,VND0000012
SMS_EVENT0000192,ACC0029606,BRW0000018,2026-02-28 02:37:11,SMS000039744,DELIVERED,DUE_REMINDER,VND0000007
SMS_EVENT0000193,ACC0019653,BRW0009987,2026-04-29 19:29:37,SMS000023758,DELIVERED,DUE_REMINDER,VND0000005
SMS_EVENT0000194,ACC0008467,BRW0011057,2026-06-19 10:41:17,SMS000003567,FAILED,NOTICE,VND0000011
SMS_EVENT0000195,ACC0022035,BRW0010258,2026-01-12 09:32:11,SMS000020054,DELIVERED,PTP_REMINDER,VND0000006
SMS_EVENT0000196,ACC0010007,BRW0008188,2026-02-10 03:14:02,SMS000018850,DELIVERED,PAYMENT_LINK,VND0000004
SMS_EVENT0000197,ACC0018871,BRW0003186,2026-03-23 07:37:31,SMS000002719,CLICKED,PAYMENT_LINK,VND0000001
SMS_EVENT0000198,ACC0004758,BRW0007514,2026-01-26 22:12:02,SMS000011011,SENT,DUE_REMINDER,VND0000012
SMS_EVENT0000199,ACC0024408,BRW0009527,2026-06-14 00:29:34,SMS000037706,DELIVERED,PTP_REMINDER,VND0000006
SMS_EVENT0000200,ACC0029594,BRW0001936,2026-04-05 05:35:27,SMS000018552,SENT,DUE_REMINDER,VND0000014
SMS_EVENT0000201,ACC0010256,BRW0007292,2026-04-27 16:50:51,SMS000019585,CLICKED,PAYMENT_LINK,VND0000011
SMS_EVENT0000202,ACC0017856,BRW0005170,2026-06-06 23:39:39,SMS000016152,CLICKED,PAYMENT_LINK,VND0000005
SMS_EVENT0000203,ACC0013104,BRW0011469,2026-05-08 04:50:02,SMS000008395,DELIVERED,PAYMENT_LINK,VND0000007
SMS_EVENT0000204,ACC0027616,BRW0005908,2026-05-22 15:04:32,SMS000029257,DELIVERED,PTP_REMINDER,VND0000003
SMS_EVENT0000205,ACC0001477,BRW0000687,2026-04-20 09:06:08,SMS000034038,DELIVERED,PTP_REMINDER,VND0000011
SMS_EVENT0000206,ACC0012548,BRW0009101,2026-07-17 12:19:31,SMS000021773,FAILED,NOTICE,VND0000001
SMS_EVENT0000207,ACC0006658,BRW0006442,2026-04-29 19:38:39,SMS000030989,CLICKED,PTP_REMINDER,VND0000015
SMS_EVENT0000208,ACC0020447,BRW0001790,2026-05-20 02:17:40,SMS000005224,SENT,PAYMENT_LINK,VND0000013
